,Premise 1,Premise 2,Premise 3,Conclusion,participant_id,Domain,Similarity,Normalized Similarity
148,machine gun,,,stick,0,Weapons,3.0,-0.2377410060150929
149,machine gun,,,tank,0,Weapons,7.0,0.5872962751331746
150,machine gun,,,rope,0,Weapons,1.0,-0.6502596465892267
151,machine gun,,,double barrelled shotgun,0,Weapons,9.0,0.9998149157073084
152,machine gun,,,sword,0,Weapons,16.0,2.4436301577167767
153,machine gun,,,whip,0,Weapons,1.0,-0.6502596465892267
154,pistol,,,shield,0,Weapons,1.0,-0.6502596465892267
155,pistol,,,spear,0,Weapons,1.0,-0.6502596465892267
156,pistol,,,stick,0,Weapons,2.0,-0.4440003263021598
157,pistol,,,tank,0,Weapons,3.0,-0.2377410060150929
158,pistol,,,rope,0,Weapons,1.0,-0.6502596465892267
159,pistol,,,double barrelled shotgun,0,Weapons,4.0,-0.031481685728026
160,pistol,,,sword,0,Weapons,1.0,-0.6502596465892267
161,pistol,,,whip,0,Weapons,2.0,-0.4440003263021598
162,shield,,,spear,0,Weapons,15.0,2.23737083742971
163,shield,,,stick,0,Weapons,16.0,2.4436301577167767
164,shield,,,tank,0,Weapons,4.0,-0.031481685728026
165,shield,,,rope,0,Weapons,1.0,-0.6502596465892267
166,shield,,,double barrelled shotgun,0,Weapons,1.0,-0.6502596465892267
167,shield,,,sword,0,Weapons,18.0,2.856148798290911
168,shield,,,whip,0,Weapons,2.0,-0.4440003263021598
169,spear,,,stick,0,Weapons,15.0,2.23737083742971
170,spear,,,tank,0,Weapons,4.0,-0.031481685728026
171,spear,,,rope,0,Weapons,1.0,-0.6502596465892267
172,spear,,,double barrelled shotgun,0,Weapons,1.0,-0.6502596465892267
173,spear,,,sword,0,Weapons,1.0,-0.6502596465892267
174,spear,,,whip,0,Weapons,1.0,-0.6502596465892267
175,stick,,,tank,0,Weapons,1.0,-0.6502596465892267
176,stick,,,rope,0,Weapons,13.0,1.824852196855576
177,stick,,,double barrelled shotgun,0,Weapons,1.0,-0.6502596465892267
178,stick,,,sword,0,Weapons,1.0,-0.6502596465892267
179,stick,,,whip,0,Weapons,2.0,-0.4440003263021598
180,tank,,,rope,0,Weapons,1.0,-0.6502596465892267
181,tank,,,double barrelled shotgun,0,Weapons,1.0,-0.6502596465892267
182,tank,,,sword,0,Weapons,2.0,-0.4440003263021598
183,tank,,,whip,0,Weapons,1.0,-0.6502596465892267
184,rope,,,double barrelled shotgun,0,Weapons,1.0,-0.6502596465892267
185,rope,,,sword,0,Weapons,1.0,-0.6502596465892267
186,rope,,,whip,0,Weapons,10.0,1.2060742359943752
187,double barrelled shotgun,,,sword,0,Weapons,1.0,-0.6502596465892267
188,double barrelled shotgun,,,whip,0,Weapons,2.0,-0.4440003263021598
189,sword,,,whip,0,Weapons,2.0,-0.4440003263021598
190,bazooka,,,axe,1,Weapons,12.0,0.2694406616738365
191,bazooka,,,knuckle dusters,1,Weapons,11.0,0.047822801422629
192,bazooka,,,bow,1,Weapons,15.0,0.9342942424274588
193,bazooka,,,dagger,1,Weapons,12.0,0.2694406616738365
194,bazooka,,,rifle,1,Weapons,15.0,0.9342942424274588
195,bazooka,,,grenade,1,Weapons,11.0,0.047822801422629
196,bazooka,,,canon,1,Weapons,17.0,1.3775299629298736
198,bazooka,,,club,1,Weapons,12.0,0.2694406616738365
199,bazooka,,,machine gun,1,Weapons,1.0,-2.168355801089445
200,bazooka,,,pistol,1,Weapons,15.0,0.9342942424274588
201,bazooka,,,shield,1,Weapons,4.0,-1.503502220335823
202,bazooka,,,spear,1,Weapons,15.0,0.9342942424274588
203,bazooka,,,stick,1,Weapons,4.0,-1.503502220335823
204,bazooka,,,tank,1,Weapons,11.0,0.047822801422629
205,bazooka,,,rope,1,Weapons,2.0,-1.946737940838238
206,bazooka,,,double barrelled shotgun,1,Weapons,15.0,0.9342942424274588
207,bazooka,,,sword,1,Weapons,15.0,0.9342942424274588
208,bazooka,,,whip,1,Weapons,5.0,-1.2818843600846157
209,axe,,,knuckle dusters,1,Weapons,12.0,0.2694406616738365
210,axe,,,bow,1,Weapons,9.0,-0.3954129190797858
211,axe,,,dagger,1,Weapons,18.0,1.5991478231810812
212,axe,,,rifle,1,Weapons,12.0,0.2694406616738365
213,axe,,,grenade,1,Weapons,18.0,1.5991478231810812
214,axe,,,canon,1,Weapons,13.0,0.4910585219250439
216,axe,,,club,1,Weapons,14.0,0.7126763821762514
217,axe,,,machine gun,1,Weapons,13.0,0.4910585219250439
218,axe,,,pistol,1,Weapons,11.0,0.047822801422629
219,axe,,,shield,1,Weapons,5.0,-1.2818843600846157
220,axe,,,spear,1,Weapons,14.0,0.7126763821762514
221,axe,,,stick,1,Weapons,15.0,0.9342942424274588
222,axe,,,tank,1,Weapons,5.0,-1.2818843600846157
223,axe,,,rope,1,Weapons,3.0,-1.7251200805870304
224,axe,,,double barrelled shotgun,1,Weapons,16.0,1.1559121026786665
225,axe,,,sword,1,Weapons,14.0,0.7126763821762514
226,axe,,,whip,1,Weapons,15.0,0.9342942424274588
227,knuckle dusters,,,bow,1,Weapons,13.0,0.4910585219250439
228,knuckle dusters,,,dagger,1,Weapons,12.0,0.2694406616738365
229,knuckle dusters,,,rifle,1,Weapons,15.0,0.9342942424274588
230,knuckle dusters,,,grenade,1,Weapons,13.0,0.4910585219250439
231,knuckle dusters,,,canon,1,Weapons,16.0,1.1559121026786665
233,knuckle dusters,,,club,1,Weapons,10.0,-0.1737950588285783
234,knuckle dusters,,,machine gun,1,Weapons,11.0,0.047822801422629
235,knuckle dusters,,,pistol,1,Weapons,13.0,0.4910585219250439
236,knuckle dusters,,,shield,1,Weapons,5.0,-1.2818843600846157
237,knuckle dusters,,,spear,1,Weapons,13.0,0.4910585219250439
238,knuckle dusters,,,stick,1,Weapons,12.0,0.2694406616738365
239,knuckle dusters,,,tank,1,Weapons,12.0,0.2694406616738365
240,knuckle dusters,,,rope,1,Weapons,7.0,-0.8386486395822007
241,knuckle dusters,,,double barrelled shotgun,1,Weapons,12.0,0.2694406616738365
242,knuckle dusters,,,sword,1,Weapons,14.0,0.7126763821762514
243,knuckle dusters,,,whip,1,Weapons,10.0,-0.1737950588285783
244,bow,,,dagger,1,Weapons,11.0,0.047822801422629
245,bow,,,rifle,1,Weapons,16.0,1.1559121026786665
246,bow,,,grenade,1,Weapons,11.0,0.047822801422629
247,bow,,,canon,1,Weapons,12.0,0.2694406616738365
249,bow,,,club,1,Weapons,11.0,0.047822801422629
250,bow,,,machine gun,1,Weapons,12.0,0.2694406616738365
251,bow,,,pistol,1,Weapons,15.0,0.9342942424274588
252,bow,,,shield,1,Weapons,5.0,-1.2818843600846157
253,bow,,,spear,1,Weapons,11.0,0.047822801422629
254,bow,,,stick,1,Weapons,13.0,0.4910585219250439
255,bow,,,tank,1,Weapons,5.0,-1.2818843600846157
256,bow,,,rope,1,Weapons,11.0,0.047822801422629
257,bow,,,double barrelled shotgun,1,Weapons,15.0,0.9342942424274588
258,bow,,,sword,1,Weapons,16.0,1.1559121026786665
259,bow,,,whip,1,Weapons,12.0,0.2694406616738365
260,dagger,,,rifle,1,Weapons,12.0,0.2694406616738365
261,dagger,,,grenade,1,Weapons,15.0,0.9342942424274588
262,dagger,,,canon,1,Weapons,8.0,-0.6170307793309933
264,dagger,,,club,1,Weapons,11.0,0.047822801422629
265,dagger,,,machine gun,1,Weapons,10.0,-0.1737950588285783
266,dagger,,,pistol,1,Weapons,16.0,1.1559121026786665
267,dagger,,,shield,1,Weapons,8.0,-0.6170307793309933
268,dagger,,,spear,1,Weapons,16.0,1.1559121026786665
269,dagger,,,stick,1,Weapons,12.0,0.2694406616738365
270,dagger,,,tank,1,Weapons,10.0,-0.1737950588285783
271,dagger,,,rope,1,Weapons,10.0,-0.1737950588285783
272,dagger,,,double barrelled shotgun,1,Weapons,13.0,0.4910585219250439
273,dagger,,,sword,1,Weapons,18.0,1.5991478231810812
274,dagger,,,whip,1,Weapons,10.0,-0.1737950588285783
275,rifle,,,grenade,1,Weapons,13.0,0.4910585219250439
276,rifle,,,canon,1,Weapons,12.0,0.2694406616738365
278,rifle,,,club,1,Weapons,15.0,0.9342942424274588
279,rifle,,,machine gun,1,Weapons,16.0,1.1559121026786665
280,rifle,,,pistol,1,Weapons,19.0,1.8207656834322885
281,rifle,,,shield,1,Weapons,5.0,-1.2818843600846157
282,rifle,,,spear,1,Weapons,14.0,0.7126763821762514
283,rifle,,,stick,1,Weapons,16.0,1.1559121026786665
284,rifle,,,tank,1,Weapons,10.0,-0.1737950588285783
285,rifle,,,rope,1,Weapons,5.0,-1.2818843600846157
286,rifle,,,double barrelled shotgun,1,Weapons,15.0,0.9342942424274588
287,rifle,,,sword,1,Weapons,17.0,1.3775299629298736
288,rifle,,,whip,1,Weapons,7.0,-0.8386486395822007
289,grenade,,,canon,1,Weapons,7.0,-0.8386486395822007
291,grenade,,,club,1,Weapons,11.0,0.047822801422629
292,grenade,,,machine gun,1,Weapons,13.0,0.4910585219250439
293,grenade,,,pistol,1,Weapons,10.0,-0.1737950588285783
294,grenade,,,shield,1,Weapons,12.0,0.2694406616738365
295,grenade,,,spear,1,Weapons,13.0,0.4910585219250439
296,grenade,,,stick,1,Weapons,8.0,-0.6170307793309933
297,grenade,,,tank,1,Weapons,12.0,0.2694406616738365
298,grenade,,,rope,1,Weapons,1.0,-2.168355801089445
299,grenade,,,double barrelled shotgun,1,Weapons,3.0,-1.7251200805870304
300,grenade,,,sword,1,Weapons,15.0,0.9342942424274588
301,grenade,,,whip,1,Weapons,6.0,-1.060266499833408
303,canon,,,club,1,Weapons,15.0,0.9342942424274588
304,canon,,,machine gun,1,Weapons,15.0,0.9342942424274588
305,canon,,,pistol,1,Weapons,16.0,1.1559121026786665
306,canon,,,shield,1,Weapons,2.0,-1.946737940838238
307,canon,,,spear,1,Weapons,11.0,0.047822801422629
308,canon,,,stick,1,Weapons,4.0,-1.503502220335823
309,canon,,,tank,1,Weapons,18.0,1.5991478231810812
310,canon,,,rope,1,Weapons,7.0,-0.8386486395822007
311,canon,,,double barrelled shotgun,1,Weapons,4.0,-1.503502220335823
312,canon,,,sword,1,Weapons,15.0,0.9342942424274588
313,canon,,,whip,1,Weapons,5.0,-1.2818843600846157
325,club,,,machine gun,1,Weapons,11.0,0.047822801422629
326,club,,,pistol,1,Weapons,10.0,-0.1737950588285783
327,club,,,shield,1,Weapons,4.0,-1.503502220335823
328,club,,,spear,1,Weapons,4.0,-1.503502220335823
329,club,,,stick,1,Weapons,19.0,1.8207656834322885
330,club,,,tank,1,Weapons,10.0,-0.1737950588285783
331,club,,,rope,1,Weapons,6.0,-1.060266499833408
332,club,,,double barrelled shotgun,1,Weapons,13.0,0.4910585219250439
333,club,,,sword,1,Weapons,15.0,0.9342942424274588
334,club,,,whip,1,Weapons,10.0,-0.1737950588285783
335,machine gun,,,pistol,1,Weapons,15.0,0.9342942424274588
336,machine gun,,,shield,1,Weapons,8.0,-0.6170307793309933
337,machine gun,,,spear,1,Weapons,15.0,0.9342942424274588
338,machine gun,,,stick,1,Weapons,2.0,-1.946737940838238
339,machine gun,,,tank,1,Weapons,3.0,-1.7251200805870304
340,machine gun,,,rope,1,Weapons,6.0,-1.060266499833408
341,machine gun,,,double barrelled shotgun,1,Weapons,15.0,0.9342942424274588
342,machine gun,,,sword,1,Weapons,15.0,0.9342942424274588
343,machine gun,,,whip,1,Weapons,5.0,-1.2818843600846157
344,pistol,,,shield,1,Weapons,3.0,-1.7251200805870304
345,pistol,,,spear,1,Weapons,15.0,0.9342942424274588
346,pistol,,,stick,1,Weapons,13.0,0.4910585219250439
347,pistol,,,tank,1,Weapons,11.0,0.047822801422629
348,pistol,,,rope,1,Weapons,3.0,-1.7251200805870304
349,pistol,,,double barrelled shotgun,1,Weapons,15.0,0.9342942424274588
350,pistol,,,sword,1,Weapons,5.0,-1.2818843600846157
351,pistol,,,whip,1,Weapons,12.0,0.2694406616738365
352,shield,,,spear,1,Weapons,6.0,-1.060266499833408
353,shield,,,stick,1,Weapons,6.0,-1.060266499833408
354,shield,,,tank,1,Weapons,10.0,-0.1737950588285783
355,shield,,,rope,1,Weapons,2.0,-1.946737940838238
356,shield,,,double barrelled shotgun,1,Weapons,6.0,-1.060266499833408
357,shield,,,sword,1,Weapons,4.0,-1.503502220335823
358,shield,,,whip,1,Weapons,5.0,-1.2818843600846157
359,spear,,,stick,1,Weapons,18.0,1.5991478231810812
360,spear,,,tank,1,Weapons,16.0,1.1559121026786665
361,spear,,,rope,1,Weapons,6.0,-1.060266499833408
362,spear,,,double barrelled shotgun,1,Weapons,12.0,0.2694406616738365
363,spear,,,sword,1,Weapons,12.0,0.2694406616738365
364,spear,,,whip,1,Weapons,5.0,-1.2818843600846157
365,stick,,,tank,1,Weapons,7.0,-0.8386486395822007
366,stick,,,rope,1,Weapons,14.0,0.7126763821762514
367,stick,,,double barrelled shotgun,1,Weapons,10.0,-0.1737950588285783
368,stick,,,sword,1,Weapons,5.0,-1.2818843600846157
369,stick,,,whip,1,Weapons,11.0,0.047822801422629
370,tank,,,rope,1,Weapons,5.0,-1.2818843600846157
371,tank,,,double barrelled shotgun,1,Weapons,10.0,-0.1737950588285783
372,tank,,,sword,1,Weapons,11.0,0.047822801422629
373,tank,,,whip,1,Weapons,7.0,-0.8386486395822007
374,rope,,,double barrelled shotgun,1,Weapons,10.0,-0.1737950588285783
375,rope,,,sword,1,Weapons,2.0,-1.946737940838238
376,rope,,,whip,1,Weapons,5.0,-1.2818843600846157
377,double barrelled shotgun,,,sword,1,Weapons,15.0,0.9342942424274588
378,double barrelled shotgun,,,whip,1,Weapons,1.0,-2.168355801089445
379,sword,,,whip,1,Weapons,13.0,0.4910585219250439
380,bazooka,,,axe,2,Weapons,5.0,-0.5863746164993932
381,bazooka,,,knuckle dusters,2,Weapons,4.0,-0.9378294339595974
382,bazooka,,,bow,2,Weapons,3.0,-1.2892842514198015
383,bazooka,,,dagger,2,Weapons,5.0,-0.5863746164993932
384,bazooka,,,rifle,2,Weapons,9.0,0.8194446533414236
385,bazooka,,,grenade,2,Weapons,6.0,-0.234919799039189
386,bazooka,,,canon,2,Weapons,14.0,2.5767187406424443
388,bazooka,,,club,2,Weapons,6.0,-0.234919799039189
389,bazooka,,,machine gun,2,Weapons,9.0,0.8194446533414236
390,bazooka,,,pistol,2,Weapons,10.0,1.1708994708016278
391,bazooka,,,shield,2,Weapons,2.0,-1.6407390688800056
392,bazooka,,,spear,2,Weapons,4.0,-0.9378294339595974
393,bazooka,,,stick,2,Weapons,5.0,-0.5863746164993932
394,bazooka,,,tank,2,Weapons,10.0,1.1708994708016278
395,bazooka,,,rope,2,Weapons,4.0,-0.9378294339595974
396,bazooka,,,double barrelled shotgun,2,Weapons,10.0,1.1708994708016278
397,bazooka,,,sword,2,Weapons,6.0,-0.234919799039189
398,bazooka,,,whip,2,Weapons,4.0,-0.9378294339595974
399,axe,,,knuckle dusters,2,Weapons,7.0,0.1165350184210152
400,axe,,,bow,2,Weapons,4.0,-0.9378294339595974
401,axe,,,dagger,2,Weapons,12.0,1.873809105722036
402,axe,,,rifle,2,Weapons,6.0,-0.234919799039189
403,axe,,,grenade,2,Weapons,7.0,0.1165350184210152
404,axe,,,canon,2,Weapons,4.0,-0.9378294339595974
406,axe,,,club,2,Weapons,12.0,1.873809105722036
407,axe,,,machine gun,2,Weapons,6.0,-0.234919799039189
408,axe,,,pistol,2,Weapons,5.0,-0.5863746164993932
409,axe,,,shield,2,Weapons,5.0,-0.5863746164993932
410,axe,,,spear,2,Weapons,7.0,0.1165350184210152
411,axe,,,stick,2,Weapons,9.0,0.8194446533414236
412,axe,,,tank,2,Weapons,6.0,-0.234919799039189
413,axe,,,rope,2,Weapons,4.0,-0.9378294339595974
414,axe,,,double barrelled shotgun,2,Weapons,5.0,-0.5863746164993932
415,axe,,,sword,2,Weapons,10.0,1.1708994708016278
416,axe,,,whip,2,Weapons,4.0,-0.9378294339595974
417,knuckle dusters,,,bow,2,Weapons,4.0,-0.9378294339595974
418,knuckle dusters,,,dagger,2,Weapons,8.0,0.4679898358812194
419,knuckle dusters,,,rifle,2,Weapons,4.0,-0.9378294339595974
420,knuckle dusters,,,grenade,2,Weapons,4.0,-0.9378294339595974
421,knuckle dusters,,,canon,2,Weapons,7.0,0.1165350184210152
423,knuckle dusters,,,club,2,Weapons,8.0,0.4679898358812194
424,knuckle dusters,,,machine gun,2,Weapons,6.0,-0.234919799039189
425,knuckle dusters,,,pistol,2,Weapons,4.0,-0.9378294339595974
426,knuckle dusters,,,shield,2,Weapons,3.0,-1.2892842514198015
427,knuckle dusters,,,spear,2,Weapons,4.0,-0.9378294339595974
428,knuckle dusters,,,stick,2,Weapons,6.0,-0.234919799039189
429,knuckle dusters,,,tank,2,Weapons,6.0,-0.234919799039189
430,knuckle dusters,,,rope,2,Weapons,7.0,0.1165350184210152
431,knuckle dusters,,,double barrelled shotgun,2,Weapons,5.0,-0.5863746164993932
432,knuckle dusters,,,sword,2,Weapons,7.0,0.1165350184210152
433,knuckle dusters,,,whip,2,Weapons,5.0,-0.5863746164993932
434,bow,,,dagger,2,Weapons,5.0,-0.5863746164993932
435,bow,,,rifle,2,Weapons,4.0,-0.9378294339595974
436,bow,,,grenade,2,Weapons,3.0,-1.2892842514198015
437,bow,,,canon,2,Weapons,8.0,0.4679898358812194
439,bow,,,club,2,Weapons,5.0,-0.5863746164993932
440,bow,,,machine gun,2,Weapons,5.0,-0.5863746164993932
441,bow,,,pistol,2,Weapons,8.0,0.4679898358812194
442,bow,,,shield,2,Weapons,2.0,-1.6407390688800056
443,bow,,,spear,2,Weapons,7.0,0.1165350184210152
444,bow,,,stick,2,Weapons,8.0,0.4679898358812194
445,bow,,,tank,2,Weapons,5.0,-0.5863746164993932
446,bow,,,rope,2,Weapons,8.0,0.4679898358812194
447,bow,,,double barrelled shotgun,2,Weapons,8.0,0.4679898358812194
448,bow,,,sword,2,Weapons,7.0,0.1165350184210152
449,bow,,,whip,2,Weapons,10.0,1.1708994708016278
450,dagger,,,rifle,2,Weapons,6.0,-0.234919799039189
451,dagger,,,grenade,2,Weapons,4.0,-0.9378294339595974
452,dagger,,,canon,2,Weapons,3.0,-1.2892842514198015
454,dagger,,,club,2,Weapons,9.0,0.8194446533414236
455,dagger,,,machine gun,2,Weapons,6.0,-0.234919799039189
456,dagger,,,pistol,2,Weapons,5.0,-0.5863746164993932
457,dagger,,,shield,2,Weapons,2.0,-1.6407390688800056
458,dagger,,,spear,2,Weapons,11.0,1.522354288261832
459,dagger,,,stick,2,Weapons,12.0,1.873809105722036
460,dagger,,,tank,2,Weapons,3.0,-1.2892842514198015
461,dagger,,,rope,2,Weapons,5.0,-0.5863746164993932
462,dagger,,,double barrelled shotgun,2,Weapons,4.0,-0.9378294339595974
463,dagger,,,sword,2,Weapons,13.0,2.2252639231822404
464,dagger,,,whip,2,Weapons,6.0,-0.234919799039189
465,rifle,,,grenade,2,Weapons,5.0,-0.5863746164993932
466,rifle,,,canon,2,Weapons,11.0,1.522354288261832
468,rifle,,,club,2,Weapons,8.0,0.4679898358812194
469,rifle,,,machine gun,2,Weapons,14.0,2.5767187406424443
470,rifle,,,pistol,2,Weapons,15.0,2.928173558102648
471,rifle,,,shield,2,Weapons,4.0,-0.9378294339595974
