,Argument 1-Premise 1,Argument 1-Premise 2,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Premise 2,Argument 2-Conclusion,Argument 2 Chosen,participant_id
46,fly,airplane,bus,fly,airplane,sparrow,1,6090578fb2299eacaec32b7a
47,fly,airplane,car,fly,airplane,robin,1,6090578fb2299eacaec32b7a
48,bee,airplane,van,bee,airplane,robin,1,6090578fb2299eacaec32b7a
49,cow,duck,beaver,cow,duck,herring,0,6090578fb2299eacaec32b7a
50,pig,duck,beaver,pig,duck,herring,0,6090578fb2299eacaec32b7a
51,pig,salmon,piranha,pig,salmon,turkey,1,6090578fb2299eacaec32b7a
52,pig,salmon,dolphin,pig,salmon,chicken,1,6090578fb2299eacaec32b7a
53,hamster,parrot,seagull,hamster,parrot,turtle,1,6090578fb2299eacaec32b7a
54,parrot,turtle,stork,parrot,turtle,goldfish,1,6090578fb2299eacaec32b7a
55,chicken,cow,beaver,chicken,cow,salmon,1,6090578fb2299eacaec32b7a
56,pig,duck,peacock,pig,duck,salmon,1,6090578fb2299eacaec32b7a
57,chicken,pig,kangaroo,chicken,pig,sardine,1,6090578fb2299eacaec32b7a
58,chicken,salmon,piranha,chicken,salmon,cow,1,6090578fb2299eacaec32b7a
59,chicken,cow,hedgehog,chicken,cow,salmon,1,6090578fb2299eacaec32b7a
60,chicken,pig,kangaroo,chicken,pig,anchovy,1,6090578fb2299eacaec32b7a
61,cat,goldfish,swordfish,cat,goldfish,parrot,1,6090578fb2299eacaec32b7a
62,chicken,cow,seagull,chicken,cow,trout,1,6090578fb2299eacaec32b7a
63,chicken,pig,bat,chicken,pig,salmon,1,6090578fb2299eacaec32b7a
64,airplane,bat,van,airplane,bat,bee,1,6090578fb2299eacaec32b7a
65,turkey,salmon,blackbird,turkey,salmon,cow,1,6090578fb2299eacaec32b7a
66,chicken,cow,kangaroo,chicken,cow,salmon,1,6090578fb2299eacaec32b7a
67,cow,duck,owl,cow,duck,sardine,1,6090578fb2299eacaec32b7a
68,airplane,robin,van,airplane,robin,bee,1,6090578fb2299eacaec32b7a
69,cow,duck,swan,cow,duck,salmon,1,6090578fb2299eacaec32b7a
70,bee,airplane,van,bee,airplane,robin,1,5dd5e27fe25acf59990e1adf
71,airplane,bat,van,airplane,bat,bee,1,5dd5e27fe25acf59990e1adf
72,cow,duck,falcon,cow,duck,salmon,0,5dd5e27fe25acf59990e1adf
73,chicken,cow,beaver,chicken,cow,salmon,1,5dd5e27fe25acf59990e1adf
74,pig,salmon,piranha,pig,salmon,turkey,1,5dd5e27fe25acf59990e1adf
75,chicken,pig,bat,chicken,pig,salmon,1,5dd5e27fe25acf59990e1adf
76,pig,salmon,piranha,pig,salmon,chicken,1,5dd5e27fe25acf59990e1adf
77,pig,duck,beaver,pig,duck,herring,1,5dd5e27fe25acf59990e1adf
78,cow,duck,beaver,cow,duck,herring,1,5dd5e27fe25acf59990e1adf
79,cat,goldfish,swordfish,cat,goldfish,parrot,1,5dd5e27fe25acf59990e1adf
80,hamster,parrot,seagull,hamster,parrot,turtle,1,5dd5e27fe25acf59990e1adf
81,pig,duck,seagull,pig,duck,herring,1,5dd5e27fe25acf59990e1adf
82,chicken,pig,hedgehog,chicken,pig,sardine,1,5dd5e27fe25acf59990e1adf
83,chicken,pig,kangaroo,chicken,pig,sardine,1,5dd5e27fe25acf59990e1adf
84,horsefly,airplane,van,horsefly,airplane,robin,1,5dd5e27fe25acf59990e1adf
85,chicken,salmon,seagull,chicken,salmon,pig,1,5dd5e27fe25acf59990e1adf
86,pig,salmon,dolphin,pig,salmon,chicken,1,5dd5e27fe25acf59990e1adf
87,fly,helicopter,van,fly,helicopter,robin,1,5dd5e27fe25acf59990e1adf
88,fly,airplane,car,fly,airplane,robin,1,5dd5e27fe25acf59990e1adf
89,hamster,goldfish,swordfish,hamster,goldfish,parrot,1,5dd5e27fe25acf59990e1adf
90,cow,duck,cuckoo,cow,duck,salmon,1,5dd5e27fe25acf59990e1adf
91,airplane,bat,car,airplane,bat,bee,1,5dd5e27fe25acf59990e1adf
92,parrot,turtle,stork,parrot,turtle,goldfish,1,5dd5e27fe25acf59990e1adf
93,cow,duck,swan,cow,duck,salmon,1,5dd5e27fe25acf59990e1adf
94,cat,goldfish,wolf,cat,goldfish,parrot,1,5dd5e27fe25acf59990e1adf
95,pig,salmon,sperm whale,pig,salmon,turkey,1,5dd5e27fe25acf59990e1adf
96,chicken,salmon,piranha,chicken,salmon,cow,1,5dd5e27fe25acf59990e1adf
97,pig,duck,seagull,pig,duck,salmon,1,5dd5e27fe25acf59990e1adf
98,chicken,salmon,seagull,chicken,salmon,sheep,1,5dd5e27fe25acf59990e1adf
99,turkey,salmon,blackbird,turkey,salmon,cow,1,5dd5e27fe25acf59990e1adf
100,goldfish,turtle,swordfish,goldfish,turtle,parrot,1,5dd5e27fe25acf59990e1adf
101,cow,duck,owl,cow,duck,sardine,1,5dd5e27fe25acf59990e1adf
102,fly,airplane,bus,fly,airplane,sparrow,1,5dd5e27fe25acf59990e1adf
103,pig,duck,peacock,pig,duck,salmon,1,5dd5e27fe25acf59990e1adf
104,chicken,salmon,sparrow,chicken,salmon,cow,1,5dd5e27fe25acf59990e1adf
105,pig,duck,seagull,pig,duck,salmon,0,6444b1e677ebe8b4e2c23abd
106,cat,goldfish,wolf,cat,goldfish,parrot,1,6444b1e677ebe8b4e2c23abd
107,chicken,cow,hedgehog,chicken,cow,salmon,1,6444b1e677ebe8b4e2c23abd
108,parrot,turtle,stork,parrot,turtle,goldfish,1,6444b1e677ebe8b4e2c23abd
109,hamster,goldfish,swordfish,hamster,goldfish,parrot,1,6444b1e677ebe8b4e2c23abd
110,airplane,bat,car,airplane,bat,bee,1,6444b1e677ebe8b4e2c23abd
111,dog,goldfish,wolf,dog,goldfish,parrot,1,6444b1e677ebe8b4e2c23abd
112,chicken,salmon,seagull,chicken,salmon,pig,1,6444b1e677ebe8b4e2c23abd
113,horsefly,airplane,van,horsefly,airplane,robin,1,6444b1e677ebe8b4e2c23abd
114,cat,goldfish,swordfish,cat,goldfish,parrot,1,6444b1e677ebe8b4e2c23abd
115,chicken,pig,hedgehog,chicken,pig,sardine,1,6444b1e677ebe8b4e2c23abd
116,chicken,salmon,piranha,chicken,salmon,cow,1,6444b1e677ebe8b4e2c23abd
117,pig,duck,beaver,pig,duck,herring,1,6444b1e677ebe8b4e2c23abd
118,fly,airplane,bus,fly,airplane,robin,1,6444b1e677ebe8b4e2c23abd
119,chicken,pig,kangaroo,chicken,pig,anchovy,1,6444b1e677ebe8b4e2c23abd
120,airplane,sparrow,van,airplane,sparrow,bee,1,6444b1e677ebe8b4e2c23abd
121,turkey,salmon,sperm whale,turkey,salmon,cow,1,6444b1e677ebe8b4e2c23abd
122,cow,duck,swan,cow,duck,salmon,0,6444b1e677ebe8b4e2c23abd
123,hamster,parrot,seagull,hamster,parrot,turtle,1,6444b1e677ebe8b4e2c23abd
124,chicken,pig,seagull,chicken,pig,salmon,1,6444b1e677ebe8b4e2c23abd
125,bee,airplane,van,bee,airplane,robin,1,6444b1e677ebe8b4e2c23abd
126,dog,turtle,cow,dog,turtle,parrot,1,6444b1e677ebe8b4e2c23abd
127,hamster,parrot,seagull,hamster,parrot,goldfish,1,6444b1e677ebe8b4e2c23abd
128,pig,duck,hedgehog,pig,duck,salmon,1,6444b1e677ebe8b4e2c23abd
129,chicken,cow,seagull,chicken,cow,trout,1,6444b1e677ebe8b4e2c23abd
130,cow,duck,beaver,cow,duck,herring,1,6444b1e677ebe8b4e2c23abd
131,pig,salmon,piranha,pig,salmon,chicken,1,6444b1e677ebe8b4e2c23abd
132,chicken,pig,kangaroo,chicken,pig,sardine,1,6444b1e677ebe8b4e2c23abd
133,pig,duck,peacock,pig,duck,salmon,1,6444b1e677ebe8b4e2c23abd
134,airplane,bat,van,airplane,bat,bee,1,6444b1e677ebe8b4e2c23abd
135,turkey,salmon,blackbird,turkey,salmon,cow,1,6444b1e677ebe8b4e2c23abd
136,cow,duck,owl,cow,duck,sardine,1,6444b1e677ebe8b4e2c23abd
137,pig,salmon,dolphin,pig,salmon,chicken,1,6444b1e677ebe8b4e2c23abd
138,turkey,salmon,seagull,turkey,salmon,sheep,1,6444b1e677ebe8b4e2c23abd
139,pig,salmon,piranha,pig,salmon,turkey,1,6444b1e677ebe8b4e2c23abd
140,turkey,salmon,blackbird,turkey,salmon,cow,1,6099911160f3e9d0d94b18e8
141,chicken,salmon,sparrow,chicken,salmon,cow,0,6099911160f3e9d0d94b18e8
142,cat,goldfish,wolf,cat,goldfish,parrot,1,6099911160f3e9d0d94b18e8
143,cow,duck,beaver,cow,duck,herring,0,6099911160f3e9d0d94b18e8
144,chicken,cow,seagull,chicken,cow,salmon,1,6099911160f3e9d0d94b18e8
145,dog,goldfish,wolf,dog,goldfish,parrot,1,6099911160f3e9d0d94b18e8
146,parrot,goldfish,seagull,parrot,goldfish,turtle,1,6099911160f3e9d0d94b18e8
147,airplane,bat,car,airplane,bat,bee,1,6099911160f3e9d0d94b18e8
148,cow,duck,cuckoo,cow,duck,salmon,1,6099911160f3e9d0d94b18e8
149,airplane,sparrow,van,airplane,sparrow,bee,1,6099911160f3e9d0d94b18e8
150,hamster,parrot,seagull,hamster,parrot,turtle,1,6099911160f3e9d0d94b18e8
151,hamster,goldfish,swordfish,hamster,goldfish,parrot,0,6099911160f3e9d0d94b18e8
152,cat,goldfish,swordfish,cat,goldfish,parrot,0,6099911160f3e9d0d94b18e8
153,turkey,salmon,swan,turkey,salmon,sheep,1,6099911160f3e9d0d94b18e8
154,cow,duck,falcon,cow,duck,salmon,0,6099911160f3e9d0d94b18e8
155,airplane,bat,van,airplane,bat,bee,0,6099911160f3e9d0d94b18e8
156,pig,duck,seagull,pig,duck,salmon,1,6099911160f3e9d0d94b18e8
157,cow,duck,owl,cow,duck,sardine,1,6099911160f3e9d0d94b18e8
158,pig,salmon,sperm whale,pig,salmon,chicken,1,6099911160f3e9d0d94b18e8
159,chicken,pig,kangaroo,chicken,pig,anchovy,1,6099911160f3e9d0d94b18e8
160,pig,duck,hedgehog,pig,duck,salmon,1,6099911160f3e9d0d94b18e8
161,chicken,cow,kangaroo,chicken,cow,salmon,1,6099911160f3e9d0d94b18e8
162,chicken,cow,seagull,chicken,cow,trout,1,6099911160f3e9d0d94b18e8
163,chicken,cow,beaver,chicken,cow,salmon,1,6099911160f3e9d0d94b18e8
164,chicken,pig,hedgehog,chicken,pig,sardine,1,6099911160f3e9d0d94b18e8
165,parrot,turtle,stork,parrot,turtle,goldfish,1,6099911160f3e9d0d94b18e8
166,turkey,salmon,seagull,turkey,salmon,cow,0,6099911160f3e9d0d94b18e8
167,bee,airplane,van,bee,airplane,robin,1,6099911160f3e9d0d94b18e8
168,pig,salmon,dolphin,pig,salmon,chicken,1,6099911160f3e9d0d94b18e8
169,dog,turtle,cow,dog,turtle,parrot,0,6099911160f3e9d0d94b18e8
170,pig,salmon,sperm whale,pig,salmon,turkey,1,6099911160f3e9d0d94b18e8
171,pig,salmon,piranha,pig,salmon,turkey,1,6099911160f3e9d0d94b18e8
172,chicken,pig,kangaroo,chicken,pig,sardine,1,6099911160f3e9d0d94b18e8
173,turkey,salmon,sperm whale,turkey,salmon,cow,1,6099911160f3e9d0d94b18e8
174,pig,salmon,piranha,pig,salmon,chicken,1,6099911160f3e9d0d94b18e8
175,dog,turtle,cow,dog,turtle,parrot,0,659aba9fce23a5b8af24fb5a
176,pig,salmon,piranha,pig,salmon,chicken,1,659aba9fce23a5b8af24fb5a
177,pig,duck,hedgehog,pig,duck,salmon,0,659aba9fce23a5b8af24fb5a
178,cat,turtle,wolf,cat,turtle,parrot,1,659aba9fce23a5b8af24fb5a
179,fly,airplane,bus,fly,airplane,sparrow,1,659aba9fce23a5b8af24fb5a
180,chicken,cow,seagull,chicken,cow,salmon,0,659aba9fce23a5b8af24fb5a
181,chicken,salmon,seagull,chicken,salmon,pig,1,659aba9fce23a5b8af24fb5a
182,fly,helicopter,van,fly,helicopter,robin,1,659aba9fce23a5b8af24fb5a
183,dog,goldfish,wolf,dog,goldfish,parrot,1,659aba9fce23a5b8af24fb5a
184,chicken,pig,hedgehog,chicken,pig,sardine,0,659aba9fce23a5b8af24fb5a
185,pig,duck,beaver,pig,duck,herring,1,659aba9fce23a5b8af24fb5a
186,horsefly,airplane,van,horsefly,airplane,robin,1,659aba9fce23a5b8af24fb5a
187,chicken,cow,seagull,chicken,cow,trout,1,659aba9fce23a5b8af24fb5a
188,parrot,goldfish,seagull,parrot,goldfish,turtle,1,659aba9fce23a5b8af24fb5a
189,chicken,pig,kangaroo,chicken,pig,sardine,0,659aba9fce23a5b8af24fb5a
190,cow,duck,owl,cow,duck,sardine,0,659aba9fce23a5b8af24fb5a
191,turkey,salmon,blackbird,turkey,salmon,cow,1,659aba9fce23a5b8af24fb5a
192,airplane,sparrow,van,airplane,sparrow,bee,1,659aba9fce23a5b8af24fb5a
193,fly,airplane,bus,fly,airplane,robin,1,659aba9fce23a5b8af24fb5a
194,chicken,cow,kangaroo,chicken,cow,salmon,1,659aba9fce23a5b8af24fb5a
195,fly,airplane,car,fly,airplane,robin,1,659aba9fce23a5b8af24fb5a
196,parrot,turtle,stork,parrot,turtle,goldfish,1,659aba9fce23a5b8af24fb5a
197,cow,duck,beaver,cow,duck,herring,1,659aba9fce23a5b8af24fb5a
198,hamster,parrot,seagull,hamster,parrot,turtle,1,659aba9fce23a5b8af24fb5a
199,hamster,parrot,seagull,hamster,parrot,goldfish,1,659aba9fce23a5b8af24fb5a
200,chicken,salmon,seagull,chicken,salmon,sheep,1,659aba9fce23a5b8af24fb5a
201,cow,duck,cuckoo,cow,duck,salmon,1,659aba9fce23a5b8af24fb5a
202,cow,duck,swan,cow,duck,salmon,1,659aba9fce23a5b8af24fb5a
203,airplane,bat,van,airplane,bat,bee,1,659aba9fce23a5b8af24fb5a
204,chicken,salmon,falcon,chicken,salmon,cow,1,659aba9fce23a5b8af24fb5a
205,hamster,goldfish,swordfish,hamster,goldfish,parrot,1,659aba9fce23a5b8af24fb5a
206,fly,airplane,bus,fly,airplane,bat,1,659aba9fce23a5b8af24fb5a
207,cow,duck,falcon,cow,duck,salmon,1,659aba9fce23a5b8af24fb5a
208,chicken,cow,hedgehog,chicken,cow,salmon,1,659aba9fce23a5b8af24fb5a
209,cat,goldfish,wolf,cat,goldfish,parrot,1,659aba9fce23a5b8af24fb5a
210,pig,salmon,piranha,pig,salmon,chicken,1,640a628b1ee07fd75971fd93
211,chicken,pig,seagull,chicken,pig,salmon,1,640a628b1ee07fd75971fd93
212,dog,turtle,cow,dog,turtle,parrot,1,640a628b1ee07fd75971fd93
213,dog,goldfish,wolf,dog,goldfish,parrot,0,640a628b1ee07fd75971fd93
214,pig,salmon,sperm whale,pig,salmon,turkey,1,640a628b1ee07fd75971fd93
215,pig,salmon,sperm whale,pig,salmon,chicken,1,640a628b1ee07fd75971fd93
216,cow,duck,owl,cow,duck,sardine,1,640a628b1ee07fd75971fd93
217,chicken,cow,kangaroo,chicken,cow,salmon,1,640a628b1ee07fd75971fd93
218,bee,airplane,van,bee,airplane,robin,1,640a628b1ee07fd75971fd93
219,chicken,pig,hedgehog,chicken,pig,sardine,1,640a628b1ee07fd75971fd93
220,chicken,pig,kangaroo,chicken,pig,sardine,1,640a628b1ee07fd75971fd93
221,fly,airplane,bus,fly,airplane,sparrow,1,640a628b1ee07fd75971fd93
222,cow,duck,cuckoo,cow,duck,salmon,1,640a628b1ee07fd75971fd93
223,chicken,cow,hedgehog,chicken,cow,salmon,0,640a628b1ee07fd75971fd93
224,cat,goldfish,swordfish,cat,goldfish,parrot,0,640a628b1ee07fd75971fd93
225,chicken,pig,bat,chicken,pig,salmon,1,640a628b1ee07fd75971fd93
226,cow,duck,beaver,cow,duck,herring,0,640a628b1ee07fd75971fd93
227,chicken,cow,beaver,chicken,cow,salmon,1,640a628b1ee07fd75971fd93
228,parrot,turtle,stork,parrot,turtle,goldfish,0,640a628b1ee07fd75971fd93
229,turkey,salmon,swan,turkey,salmon,sheep,1,640a628b1ee07fd75971fd93
230,pig,duck,beaver,pig,duck,herring,0,640a628b1ee07fd75971fd93
231,cat,goldfish,wolf,cat,goldfish,parrot,1,640a628b1ee07fd75971fd93
232,airplane,robin,van,airplane,robin,bee,1,640a628b1ee07fd75971fd93
233,airplane,robin,bus,airplane,robin,bee,1,640a628b1ee07fd75971fd93
234,turkey,salmon,sperm whale,turkey,salmon,cow,1,640a628b1ee07fd75971fd93
235,airplane,sparrow,van,airplane,sparrow,bee,1,640a628b1ee07fd75971fd93
236,turkey,salmon,seagull,turkey,salmon,cow,0,640a628b1ee07fd75971fd93
237,cat,turtle,wolf,cat,turtle,parrot,0,640a628b1ee07fd75971fd93
238,pig,salmon,piranha,pig,salmon,turkey,1,640a628b1ee07fd75971fd93
239,pig,duck,hedgehog,pig,duck,salmon,0,640a628b1ee07fd75971fd93
240,chicken,pig,kangaroo,chicken,pig,anchovy,0,640a628b1ee07fd75971fd93
241,pig,duck,seagull,pig,duck,salmon,1,640a628b1ee07fd75971fd93
242,chicken,salmon,seagull,chicken,salmon,sheep,1,640a628b1ee07fd75971fd93
243,airplane,bat,car,airplane,bat,bee,1,640a628b1ee07fd75971fd93
244,chicken,salmon,sparrow,chicken,salmon,cow,1,640a628b1ee07fd75971fd93
245,pig,duck,beaver,pig,duck,herring,0,655f8da6abba5f374f3145dc
246,turkey,salmon,seagull,turkey,salmon,cow,1,655f8da6abba5f374f3145dc
247,pig,salmon,piranha,pig,salmon,turkey,1,655f8da6abba5f374f3145dc
248,chicken,salmon,falcon,chicken,salmon,cow,1,655f8da6abba5f374f3145dc
249,cat,turtle,wolf,cat,turtle,parrot,1,655f8da6abba5f374f3145dc
250,chicken,pig,kangaroo,chicken,pig,anchovy,0,655f8da6abba5f374f3145dc
251,cow,duck,cuckoo,cow,duck,salmon,1,655f8da6abba5f374f3145dc
252,cat,goldfish,wolf,cat,goldfish,parrot,1,655f8da6abba5f374f3145dc
253,turkey,salmon,seagull,turkey,salmon,sheep,1,655f8da6abba5f374f3145dc
254,hamster,parrot,seagull,hamster,parrot,goldfish,1,655f8da6abba5f374f3145dc
255,chicken,salmon,seagull,chicken,salmon,pig,1,655f8da6abba5f374f3145dc
256,fly,airplane,car,fly,airplane,robin,0,655f8da6abba5f374f3145dc
257,cow,duck,swan,cow,duck,salmon,0,655f8da6abba5f374f3145dc
258,pig,salmon,sperm whale,pig,salmon,chicken,1,655f8da6abba5f374f3145dc
259,chicken,cow,kangaroo,chicken,cow,salmon,0,655f8da6abba5f374f3145dc
260,pig,salmon,sperm whale,pig,salmon,turkey,1,655f8da6abba5f374f3145dc
261,airplane,robin,van,airplane,robin,bee,1,655f8da6abba5f374f3145dc
262,airplane,robin,bus,airplane,robin,bee,1,655f8da6abba5f374f3145dc
263,dog,turtle,cow,dog,turtle,parrot,1,655f8da6abba5f374f3145dc
264,turkey,salmon,swan,turkey,salmon,sheep,1,655f8da6abba5f374f3145dc
265,hamster,parrot,seagull,hamster,parrot,turtle,1,655f8da6abba5f374f3145dc
266,pig,duck,seagull,pig,duck,herring,1,655f8da6abba5f374f3145dc
267,cow,duck,owl,cow,duck,sardine,1,655f8da6abba5f374f3145dc
268,hamster,goldfish,swordfish,hamster,goldfish,parrot,1,655f8da6abba5f374f3145dc
269,cat,goldfish,swordfish,cat,goldfish,parrot,1,655f8da6abba5f374f3145dc
270,airplane,sparrow,van,airplane,sparrow,bee,1,655f8da6abba5f374f3145dc
271,chicken,salmon,seagull,chicken,salmon,sheep,1,655f8da6abba5f374f3145dc
272,horsefly,airplane,van,horsefly,airplane,robin,1,655f8da6abba5f374f3145dc
273,parrot,goldfish,seagull,parrot,goldfish,turtle,1,655f8da6abba5f374f3145dc
274,fly,helicopter,van,fly,helicopter,robin,1,655f8da6abba5f374f3145dc
275,cow,duck,beaver,cow,duck,herring,0,655f8da6abba5f374f3145dc
276,chicken,pig,bat,chicken,pig,salmon,1,655f8da6abba5f374f3145dc
277,pig,duck,seagull,pig,duck,salmon,1,655f8da6abba5f374f3145dc
278,airplane,bat,van,airplane,bat,bee,1,655f8da6abba5f374f3145dc
279,pig,salmon,piranha,pig,salmon,chicken,1,655f8da6abba5f374f3145dc
280,horsefly,airplane,van,horsefly,airplane,robin,1,657a6ecc62c29be44b207d5d
281,chicken,pig,kangaroo,chicken,pig,anchovy,0,657a6ecc62c29be44b207d5d
282,turkey,salmon,seagull,turkey,salmon,sheep,1,657a6ecc62c29be44b207d5d
283,pig,salmon,dolphin,pig,salmon,chicken,1,657a6ecc62c29be44b207d5d
284,fly,helicopter,van,fly,helicopter,robin,1,657a6ecc62c29be44b207d5d
285,turkey,salmon,sperm whale,turkey,salmon,cow,0,657a6ecc62c29be44b207d5d
286,chicken,pig,bat,chicken,pig,salmon,1,657a6ecc62c29be44b207d5d
287,bee,airplane,van,bee,airplane,robin,1,657a6ecc62c29be44b207d5d
288,parrot,turtle,stork,parrot,turtle,goldfish,0,657a6ecc62c29be44b207d5d
289,chicken,cow,beaver,chicken,cow,salmon,1,657a6ecc62c29be44b207d5d
290,chicken,cow,seagull,chicken,cow,salmon,1,657a6ecc62c29be44b207d5d
291,chicken,cow,seagull,chicken,cow,trout,1,657a6ecc62c29be44b207d5d
292,chicken,cow,kangaroo,chicken,cow,salmon,1,657a6ecc62c29be44b207d5d
293,airplane,bat,car,airplane,bat,bee,1,657a6ecc62c29be44b207d5d
294,dog,goldfish,wolf,dog,goldfish,parrot,0,657a6ecc62c29be44b207d5d
295,pig,duck,hedgehog,pig,duck,salmon,0,657a6ecc62c29be44b207d5d
296,fly,airplane,bus,fly,airplane,robin,1,657a6ecc62c29be44b207d5d
297,fly,airplane,bus,fly,airplane,bat,1,657a6ecc62c29be44b207d5d
298,airplane,robin,van,airplane,robin,bee,1,657a6ecc62c29be44b207d5d
299,cow,duck,swan,cow,duck,salmon,0,657a6ecc62c29be44b207d5d
300,cow,duck,owl,cow,duck,sardine,0,657a6ecc62c29be44b207d5d
301,cow,duck,beaver,cow,duck,herring,0,657a6ecc62c29be44b207d5d
302,chicken,salmon,seagull,chicken,salmon,pig,0,657a6ecc62c29be44b207d5d
303,airplane,sparrow,van,airplane,sparrow,bee,1,657a6ecc62c29be44b207d5d
304,pig,duck,seagull,pig,duck,salmon,1,657a6ecc62c29be44b207d5d
305,fly,airplane,bus,fly,airplane,sparrow,1,657a6ecc62c29be44b207d5d
306,chicken,cow,hedgehog,chicken,cow,salmon,0,657a6ecc62c29be44b207d5d
307,chicken,salmon,falcon,chicken,salmon,cow,1,657a6ecc62c29be44b207d5d
308,chicken,pig,hedgehog,chicken,pig,sardine,0,657a6ecc62c29be44b207d5d
309,chicken,salmon,seagull,chicken,salmon,sheep,0,657a6ecc62c29be44b207d5d
310,chicken,pig,seagull,chicken,pig,salmon,1,657a6ecc62c29be44b207d5d
311,chicken,pig,kangaroo,chicken,pig,sardine,0,657a6ecc62c29be44b207d5d
312,turkey,salmon,blackbird,turkey,salmon,cow,1,657a6ecc62c29be44b207d5d
313,pig,salmon,sperm whale,pig,salmon,chicken,1,657a6ecc62c29be44b207d5d
314,turkey,salmon,swan,turkey,salmon,sheep,1,657a6ecc62c29be44b207d5d
315,turkey,salmon,seagull,turkey,salmon,cow,0,5f276d8f38b9f857f5cebf21
316,fly,airplane,bus,fly,airplane,bat,0,5f276d8f38b9f857f5cebf21
317,pig,salmon,sperm whale,pig,salmon,turkey,0,5f276d8f38b9f857f5cebf21
318,cat,turtle,wolf,cat,turtle,parrot,1,5f276d8f38b9f857f5cebf21
319,pig,salmon,sperm whale,pig,salmon,chicken,1,5f276d8f38b9f857f5cebf21
