,Premise 1,Premise 2,Premise 3,Conclusion,GPT-3.5
85,Mosquitoes,Toads,,Pheasants,100.0
86,Cuckoos,Worms,,Flies,100.0
89,Cuckoos,Lizards,,Horseflies,0.0
95,Canaries,Cats,,Rockets,0.0
100,Woodpeckers,Hedgehogs,,Bumblebees,0.0
107,Sparrows,Alligators,,Rockets,0.0
118,Zeppelins,Guitars,,Bumblebees,0.0
121,Robins,Penguins,,Helicopters,0.0
123,Woodpeckers,Alligators,,(Hot Air) balloons,0.0
136,Pelicans,Donkeys,,Airplanes,0.0
140,Woodpeckers,Ducks,,Bats,0.0
143,Canaries,Giraffes,,(Hot Air) balloons,0.0
161,Moths,Rabbits,,Helicopters,0.0
166,Moths,Sheep,,Storks,50.0
167,Owls,Monkeys,,Mosquitoes,50.0
169,Seagulls,Pistols,,Zeppelins,0.0
188,Wasps,Snakes,,Airplanes,0.0
201,Pelicans,Ducks,,Wasps,100.0
224,Flies,Pistols,,Helicopters,5.0
247,Pelicans,Elephants,,Rockets,5.0
258,Bees,Squid,,Chickadees,0.0
273,Swallows,Llamas,,Helicopters,0.0
979,Airplanes,,,Crows,5.0
980,Magpies,,,Zeppelins,5.0
981,Dragonflies,,,Airplanes,5.0
982,Bumblebees,,,Airplanes,5.0
983,Cuckoos,,,(Hot Air) balloons,5.0
984,Robins,,,Mosquitoes,5.0
985,Bats,,,Butterflies,5.0
986,Eagles,,,Flies,5.0
987,(Hot Air) balloons,,,Bumblebees,5.0
988,Doves,,,Helicopters,5.0
989,Falcons,,,Helicopters,5.0
990,Horseflies,,,Helicopters,5.0
991,Sparrows,,,Rockets,5.0
993,Pheasants,,,(Hot Air) balloons,5.0
994,Bees,,,Zeppelins,5.0
995,Herons,,,Airplanes,10.0
996,Canaries,,,Bees,10.0
997,Blackbirds,,,Airplanes,5.0
998,Fruit Flies,,,(Hot Air) balloons,5.0
999,Chickadees,,,Rockets,5.0
1000,Bees,,,Cuckoos,5.0
1002,Bumblebees,,,Pelicans,5.0
1003,Horseflies,,,Eagles,10.0
1004,Butterflies,,,Blackbirds,5.0
1006,Helicopters,,,Flies,5.0
1008,Eagles,,,Airplanes,10.0
1009,Sparrows,,,Zeppelins,5.0
1010,Storks,,,Zeppelins,5.0
1012,Swallows,,,Wasps,10.0
1013,Robins,,,Helicopters,5.0
1015,Falcons,,,(Hot Air) balloons,5.0
1016,Moths,,,Canaries,10.0
1019,Owls,,,Wasps,5.0
1024,Canaries,,,Zeppelins,5.0
1025,Woodpeckers,,,Dragonflies,5.0
1026,Flies,,,Parakeets,5.0
1030,Swallows,,,Rockets,5.0
1031,Owls,,,Zeppelins,5.0
1034,Horseflies,,,(Hot Air) balloons,5.0
1038,Parakeets,,,Zeppelins,5.0
1039,Cuckoos,,,Helicopters,5.0
1040,Eagles,,,Bats,10.0
1041,Bumblebees,,,Rockets,5.0
1043,Rockets,,,Flies,5.0
1046,Bees,,,Airplanes,5.0
1050,Cuckoos,,,Zeppelins,5.0
1051,Fruit Flies,,,Crows,10.0
1058,Horseflies,,,Rockets,5.0
1060,Parrots,,,Airplanes,5.0
1063,Storks,,,Rockets,5.0
1064,Mosquitoes,,,Pheasants,5.0
1065,Cuckoos,,,Flies,5.0
1068,Cuckoos,,,Horseflies,5.0
1074,Canaries,,,Rockets,5.0
1079,Woodpeckers,,,Bumblebees,5.0
1097,Zeppelins,,,Bumblebees,5.0
1102,Woodpeckers,,,(Hot Air) balloons,5.0
1115,Pelicans,,,Airplanes,10.0
1119,Woodpeckers,,,Bats,10.0
1122,Canaries,,,(Hot Air) balloons,5.0
1140,Moths,,,Helicopters,5.0
1145,Moths,,,Storks,5.0
1146,Owls,,,Mosquitoes,5.0
1148,Seagulls,,,Zeppelins,5.0
1167,Wasps,,,Airplanes,5.0
1180,Pelicans,,,Wasps,10.0
1203,Flies,,,Helicopters,5.0
1226,Pelicans,,,Rockets,5.0
1237,Bees,,,Chickadees,5.0
1252,Swallows,,,Helicopters,5.0
