,Argument 1-Premise 1,Argument 1-Premise 2,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Premise 2,Argument 2-Conclusion,Argument 2 Chosen,participant_id
29,Eagles,Clarinets,Airplanes,Eagles,,Airplanes,1,60abcd6f3e5efd9fca235828
30,Sparrows,Snakes,Zeppelins,Sparrows,,Zeppelins,1,60abcd6f3e5efd9fca235828
31,Storks,Panties,Zeppelins,Storks,,Zeppelins,1,60abcd6f3e5efd9fca235828
32,Herons,Pigs,Airplanes,Herons,,Airplanes,1,60abcd6f3e5efd9fca235828
33,Swallows,Wolves,Wasps,Swallows,,Wasps,1,60abcd6f3e5efd9fca235828
34,Robins,Snakes,Helicopters,Robins,,Helicopters,1,60abcd6f3e5efd9fca235828
105,Bumblebees,Toads,Pelicans,Bumblebees,,Pelicans,1,5c4f5967aac8be0001716a65
106,Falcons,Ducks,(Hot Air) balloons,Falcons,,(Hot Air) balloons,0,5c4f5967aac8be0001716a65
107,Moths,Camels,Canaries,Moths,,Canaries,1,5c4f5967aac8be0001716a65
108,Robins,Turkeys,Mosquitoes,Robins,,Mosquitoes,1,5c4f5967aac8be0001716a65
109,Magpies,Carp,Zeppelins,Magpies,,Zeppelins,1,5c4f5967aac8be0001716a65
110,Owls,Rhinos,Wasps,Owls,,Wasps,1,5c4f5967aac8be0001716a65
111,Blackbirds,Organs,Airplanes,Blackbirds,,Airplanes,1,5c4f5967aac8be0001716a65
112,Blackbirds,Bras,Airplanes,Blackbirds,,Airplanes,1,5c4f5967aac8be0001716a65
113,Chickadees,Levels,Rockets,Chickadees,,Rockets,1,5c4f5967aac8be0001716a65
114,Horseflies,Salamanders,Eagles,Horseflies,,Eagles,1,5c4f5967aac8be0001716a65
115,Canaries,Bassoons,Zeppelins,Canaries,,Zeppelins,1,5c4f5967aac8be0001716a65
116,Woodpeckers,Hedgehogs,Dragonflies,Woodpeckers,,Dragonflies,1,5c4f5967aac8be0001716a65
117,Flies,Rays,Parakeets,Flies,,Parakeets,1,5c4f5967aac8be0001716a65
118,Cuckoos,Accordions,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,5c4f5967aac8be0001716a65
119,Pheasants,Boots,(Hot Air) balloons,Pheasants,,(Hot Air) balloons,1,5c4f5967aac8be0001716a65
120,Dragonflies,Tracksuits,Airplanes,Dragonflies,,Airplanes,1,5c4f5967aac8be0001716a65
121,Swallows,Piranhas,Rockets,Swallows,,Rockets,1,5c4f5967aac8be0001716a65
122,Owls,Caimans,Zeppelins,Owls,,Zeppelins,1,5c4f5967aac8be0001716a65
123,Swallows,Wolves,Wasps,Swallows,,Wasps,1,5c4f5967aac8be0001716a65
124,Falcons,Snakes,Helicopters,Falcons,,Helicopters,1,5c4f5967aac8be0001716a65
125,Horseflies,Pan flutes,(Hot Air) balloons,Horseflies,,(Hot Air) balloons,0,5c4f5967aac8be0001716a65
126,Canaries,Bison,Bees,Canaries,,Bees,1,5c4f5967aac8be0001716a65
127,Horseflies,Frogs,Helicopters,Horseflies,,Helicopters,0,5c4f5967aac8be0001716a65
128,Herons,Pigs,Airplanes,Herons,,Airplanes,1,5c4f5967aac8be0001716a65
129,Parakeets,Alligators,Zeppelins,Parakeets,,Zeppelins,0,5c4f5967aac8be0001716a65
130,Cuckoos,Turkeys,Helicopters,Cuckoos,,Helicopters,1,5c4f5967aac8be0001716a65
131,Eagles,Cobras,Bats,Eagles,,Bats,1,5c4f5967aac8be0001716a65
133,Bumblebees,Tortoises,Rockets,Bumblebees,,Rockets,1,5c4f5967aac8be0001716a65
134,Magpies,Polar Bears,Zeppelins,Magpies,,Zeppelins,1,5c4f5967aac8be0001716a65
135,Rockets,Colanders,Flies,Rockets,,Flies,1,5c4f5967aac8be0001716a65
136,Herons,Sheep,Airplanes,Herons,,Airplanes,1,5c4f5967aac8be0001716a65
137,Cuckoos,Bass guitars,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,0,5c4f5967aac8be0001716a65
138,Bees,Grasshoppers,Airplanes,Bees,,Airplanes,0,5c4f5967aac8be0001716a65
139,Bumblebees,Blouses,Airplanes,Bumblebees,,Airplanes,1,5c4f5967aac8be0001716a65
315,Doves,Dolphins,Helicopters,Doves,,Helicopters,0,66a6ca57dbfc12dcc7ae677e
316,Flies,Rays,Parakeets,Flies,,Parakeets,0,66a6ca57dbfc12dcc7ae677e
317,Cuckoos,Woks,Zeppelins,Cuckoos,,Zeppelins,0,66a6ca57dbfc12dcc7ae677e
318,Fruit Flies,Beetles,Crows,Fruit Flies,,Crows,0,66a6ca57dbfc12dcc7ae677e
319,Cuckoos,Go-carts,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,0,66a6ca57dbfc12dcc7ae677e
320,Owls,Rhinos,Wasps,Owls,,Wasps,0,66a6ca57dbfc12dcc7ae677e
321,Horseflies,Frogs,Helicopters,Horseflies,,Helicopters,0,66a6ca57dbfc12dcc7ae677e
322,Fruit Flies,Dolphins,(Hot Air) balloons,Fruit Flies,,(Hot Air) balloons,0,66a6ca57dbfc12dcc7ae677e
323,Magpies,Polar Bears,Zeppelins,Magpies,,Zeppelins,1,66a6ca57dbfc12dcc7ae677e
324,Chickadees,Levels,Rockets,Chickadees,,Rockets,0,66a6ca57dbfc12dcc7ae677e
325,Horseflies,Swordfish,Rockets,Horseflies,,Rockets,1,66a6ca57dbfc12dcc7ae677e
326,Doves,Foxes,Helicopters,Doves,,Helicopters,1,66a6ca57dbfc12dcc7ae677e
327,Parrots,Trumpets,Airplanes,Parrots,,Airplanes,1,66a6ca57dbfc12dcc7ae677e
328,Pheasants,Boots,(Hot Air) balloons,Pheasants,,(Hot Air) balloons,1,66a6ca57dbfc12dcc7ae677e
329,Rockets,Colanders,Flies,Rockets,,Flies,1,66a6ca57dbfc12dcc7ae677e
330,Storks,Jeans,Rockets,Storks,,Rockets,1,66a6ca57dbfc12dcc7ae677e
331,Mosquitoes,Toads,Pheasants,Mosquitoes,,Pheasants,1,66a6ca57dbfc12dcc7ae677e
332,Cuckoos,Worms,Flies,Cuckoos,,Flies,1,66a6ca57dbfc12dcc7ae677e
333,Falcons,Ducks,(Hot Air) balloons,Falcons,,(Hot Air) balloons,0,66a6ca57dbfc12dcc7ae677e
334,Blackbirds,Organs,Airplanes,Blackbirds,,Airplanes,1,66a6ca57dbfc12dcc7ae677e
335,Cuckoos,Lizards,Horseflies,Cuckoos,,Horseflies,1,66a6ca57dbfc12dcc7ae677e
336,Bees,Jeans,Zeppelins,Bees,,Zeppelins,1,66a6ca57dbfc12dcc7ae677e
337,Cuckoos,Bass guitars,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,66a6ca57dbfc12dcc7ae677e
338,Dragonflies,Tracksuits,Airplanes,Dragonflies,,Airplanes,1,66a6ca57dbfc12dcc7ae677e
339,Eagles,Wolves,Flies,Eagles,,Flies,1,66a6ca57dbfc12dcc7ae677e
340,Magpies,Turtles,Zeppelins,Magpies,,Zeppelins,1,66a6ca57dbfc12dcc7ae677e
341,Canaries,Cats,Rockets,Canaries,,Rockets,1,66a6ca57dbfc12dcc7ae677e
342,Eagles,Clarinets,Airplanes,Eagles,,Airplanes,1,66a6ca57dbfc12dcc7ae677e
343,Herons,Sheep,Airplanes,Herons,,Airplanes,1,66a6ca57dbfc12dcc7ae677e
344,Bumblebees,Toads,Pelicans,Bumblebees,,Pelicans,1,66a6ca57dbfc12dcc7ae677e
345,Owls,Caimans,Zeppelins,Owls,,Zeppelins,1,66a6ca57dbfc12dcc7ae677e
346,Woodpeckers,Hedgehogs,Bumblebees,Woodpeckers,,Bumblebees,1,66a6ca57dbfc12dcc7ae677e
348,Robins,Turkeys,Mosquitoes,Robins,,Mosquitoes,0,66a6ca57dbfc12dcc7ae677e
349,Magpies,Carp,Zeppelins,Magpies,,Zeppelins,1,66a6ca57dbfc12dcc7ae677e
455,Parrots,Trumpets,Airplanes,Parrots,,Airplanes,1,66b73f9ba035651170b94c76
456,Bees,Grasshoppers,Airplanes,Bees,,Airplanes,0,66b73f9ba035651170b94c76
457,Owls,Rhinos,Wasps,Owls,,Wasps,1,66b73f9ba035651170b94c76
458,Moths,Camels,Canaries,Moths,,Canaries,1,66b73f9ba035651170b94c76
459,Sparrows,Alligators,Rockets,Sparrows,,Rockets,1,66b73f9ba035651170b94c76
460,Cuckoos,Woks,Zeppelins,Cuckoos,,Zeppelins,1,66b73f9ba035651170b94c76
461,Magpies,Carp,Zeppelins,Magpies,,Zeppelins,1,66b73f9ba035651170b94c76
462,Cuckoos,Accordions,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,66b73f9ba035651170b94c76
463,Eagles,Cobras,Bats,Eagles,,Bats,1,66b73f9ba035651170b94c76
464,Swallows,Wolves,Wasps,Swallows,,Wasps,1,66b73f9ba035651170b94c76
465,Bees,Llamas,Cuckoos,Bees,,Cuckoos,1,66b73f9ba035651170b94c76
466,Robins,Snakes,Helicopters,Robins,,Helicopters,1,66b73f9ba035651170b94c76
467,Butterflies,Hippos,Blackbirds,Butterflies,,Blackbirds,1,66b73f9ba035651170b94c76
468,Pheasants,Boots,(Hot Air) balloons,Pheasants,,(Hot Air) balloons,1,66b73f9ba035651170b94c76
469,Doves,Dolphins,Helicopters,Doves,,Helicopters,1,66b73f9ba035651170b94c76
470,Zeppelins,Guitars,Bumblebees,Zeppelins,,Bumblebees,1,66b73f9ba035651170b94c76
471,Storks,Panties,Zeppelins,Storks,,Zeppelins,1,66b73f9ba035651170b94c76
472,Fruit Flies,Dolphins,(Hot Air) balloons,Fruit Flies,,(Hot Air) balloons,1,66b73f9ba035651170b94c76
473,Robins,Penguins,Helicopters,Robins,,Helicopters,1,66b73f9ba035651170b94c76
474,Horseflies,Pan flutes,(Hot Air) balloons,Horseflies,,(Hot Air) balloons,1,66b73f9ba035651170b94c76
475,Woodpeckers,Alligators,(Hot Air) balloons,Woodpeckers,,(Hot Air) balloons,1,66b73f9ba035651170b94c76
476,Woodpeckers,Hedgehogs,Dragonflies,Woodpeckers,,Dragonflies,1,66b73f9ba035651170b94c76
477,Airplanes,Rhinos,Crows,Airplanes,,Crows,1,66b73f9ba035651170b94c76
478,Canaries,Bassoons,Zeppelins,Canaries,,Zeppelins,1,66b73f9ba035651170b94c76
479,Falcons,Snakes,Helicopters,Falcons,,Helicopters,1,66b73f9ba035651170b94c76
481,Falcons,Ducks,(Hot Air) balloons,Falcons,,(Hot Air) balloons,1,66b73f9ba035651170b94c76
482,Fruit Flies,Beetles,Crows,Fruit Flies,,Crows,1,66b73f9ba035651170b94c76
483,Canaries,Cats,Rockets,Canaries,,Rockets,1,66b73f9ba035651170b94c76
484,Blackbirds,Hats,Airplanes,Blackbirds,,Airplanes,1,66b73f9ba035651170b94c76
485,Blackbirds,Bras,Airplanes,Blackbirds,,Airplanes,1,66b73f9ba035651170b94c76
486,Owls,Caimans,Zeppelins,Owls,,Zeppelins,1,66b73f9ba035651170b94c76
487,Horseflies,Swordfish,Rockets,Horseflies,,Rockets,1,66b73f9ba035651170b94c76
488,Horseflies,Salamanders,Eagles,Horseflies,,Eagles,1,66b73f9ba035651170b94c76
489,Pelicans,Donkeys,Airplanes,Pelicans,,Airplanes,1,66b73f9ba035651170b94c76
560,Robins,Snakes,Helicopters,Robins,,Helicopters,0,662c4b36960bb85f6f77fc6e
561,Sparrows,Alligators,Rockets,Sparrows,,Rockets,0,662c4b36960bb85f6f77fc6e
562,Pelicans,Donkeys,Airplanes,Pelicans,,Airplanes,1,662c4b36960bb85f6f77fc6e
563,Woodpeckers,Ducks,Bats,Woodpeckers,,Bats,1,662c4b36960bb85f6f77fc6e
564,Rockets,Colanders,Flies,Rockets,,Flies,1,662c4b36960bb85f6f77fc6e
565,Swallows,Piranhas,Rockets,Swallows,,Rockets,1,662c4b36960bb85f6f77fc6e
566,Canaries,Giraffes,(Hot Air) balloons,Canaries,,(Hot Air) balloons,0,662c4b36960bb85f6f77fc6e
567,(Hot Air) balloons,Elephants,Bumblebees,(Hot Air) balloons,,Bumblebees,0,662c4b36960bb85f6f77fc6e
568,Flies,Rays,Parakeets,Flies,,Parakeets,1,662c4b36960bb85f6f77fc6e
569,Sparrows,Saws,Rockets,Sparrows,,Rockets,1,662c4b36960bb85f6f77fc6e
570,Airplanes,Rhinos,Crows,Airplanes,,Crows,0,662c4b36960bb85f6f77fc6e
571,Storks,Jeans,Rockets,Storks,,Rockets,1,662c4b36960bb85f6f77fc6e
572,Cuckoos,Turkeys,Helicopters,Cuckoos,,Helicopters,0,662c4b36960bb85f6f77fc6e
573,Robins,Turkeys,Mosquitoes,Robins,,Mosquitoes,1,662c4b36960bb85f6f77fc6e
574,Woodpeckers,Hedgehogs,Dragonflies,Woodpeckers,,Dragonflies,0,662c4b36960bb85f6f77fc6e
575,Falcons,Snakes,Helicopters,Falcons,,Helicopters,0,662c4b36960bb85f6f77fc6e
576,Eagles,Clarinets,Airplanes,Eagles,,Airplanes,0,662c4b36960bb85f6f77fc6e
577,Bees,Llamas,Cuckoos,Bees,,Cuckoos,1,662c4b36960bb85f6f77fc6e
578,Eagles,Cobras,Bats,Eagles,,Bats,1,662c4b36960bb85f6f77fc6e
579,Butterflies,Hippos,Blackbirds,Butterflies,,Blackbirds,0,662c4b36960bb85f6f77fc6e
580,Horseflies,Swordfish,Rockets,Horseflies,,Rockets,1,662c4b36960bb85f6f77fc6e
581,Mosquitoes,Toads,Pheasants,Mosquitoes,,Pheasants,1,662c4b36960bb85f6f77fc6e
582,Magpies,Polar Bears,Zeppelins,Magpies,,Zeppelins,0,662c4b36960bb85f6f77fc6e
583,Swallows,Wolves,Wasps,Swallows,,Wasps,0,662c4b36960bb85f6f77fc6e
584,Moths,Rabbits,Helicopters,Moths,,Helicopters,1,662c4b36960bb85f6f77fc6e
585,Cuckoos,Worms,Flies,Cuckoos,,Flies,0,662c4b36960bb85f6f77fc6e
586,Canaries,Cats,Rockets,Canaries,,Rockets,0,662c4b36960bb85f6f77fc6e
587,Cuckoos,Bass guitars,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,662c4b36960bb85f6f77fc6e
588,Pheasants,Boots,(Hot Air) balloons,Pheasants,,(Hot Air) balloons,1,662c4b36960bb85f6f77fc6e
589,Moths,Sheep,Storks,Moths,,Storks,1,662c4b36960bb85f6f77fc6e
590,Owls,Monkeys,Mosquitoes,Owls,,Mosquitoes,0,662c4b36960bb85f6f77fc6e
591,Magpies,Turtles,Zeppelins,Magpies,,Zeppelins,1,662c4b36960bb85f6f77fc6e
593,Seagulls,Pistols,Zeppelins,Seagulls,,Zeppelins,1,662c4b36960bb85f6f77fc6e
595,Sparrows,Saws,Rockets,Sparrows,,Rockets,0,669d63b71212137a95644a45
596,Pelicans,Donkeys,Airplanes,Pelicans,,Airplanes,0,669d63b71212137a95644a45
597,Horseflies,Salamanders,Eagles,Horseflies,,Eagles,1,669d63b71212137a95644a45
598,Bats,Iguanas,Butterflies,Bats,,Butterflies,1,669d63b71212137a95644a45
599,Moths,Sheep,Storks,Moths,,Storks,1,669d63b71212137a95644a45
600,Herons,Sheep,Airplanes,Herons,,Airplanes,1,669d63b71212137a95644a45
601,Magpies,Turtles,Zeppelins,Magpies,,Zeppelins,1,669d63b71212137a95644a45
602,Robins,Turkeys,Mosquitoes,Robins,,Mosquitoes,1,669d63b71212137a95644a45
603,Parakeets,Alligators,Zeppelins,Parakeets,,Zeppelins,1,669d63b71212137a95644a45
604,Bumblebees,Blouses,Airplanes,Bumblebees,,Airplanes,1,669d63b71212137a95644a45
605,Bumblebees,Toads,Pelicans,Bumblebees,,Pelicans,1,669d63b71212137a95644a45
606,Canaries,Giraffes,(Hot Air) balloons,Canaries,,(Hot Air) balloons,0,669d63b71212137a95644a45
607,Cuckoos,Worms,Flies,Cuckoos,,Flies,1,669d63b71212137a95644a45
608,Fruit Flies,Beetles,Crows,Fruit Flies,,Crows,1,669d63b71212137a95644a45
609,Canaries,Bassoons,Zeppelins,Canaries,,Zeppelins,1,669d63b71212137a95644a45
610,Dragonflies,Tracksuits,Airplanes,Dragonflies,,Airplanes,1,669d63b71212137a95644a45
611,Cuckoos,Woks,Zeppelins,Cuckoos,,Zeppelins,1,669d63b71212137a95644a45
612,(Hot Air) balloons,Elephants,Bumblebees,(Hot Air) balloons,,Bumblebees,1,669d63b71212137a95644a45
613,Wasps,Snakes,Airplanes,Wasps,,Airplanes,1,669d63b71212137a95644a45
614,Cuckoos,Accordions,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,669d63b71212137a95644a45
615,Pheasants,Boots,(Hot Air) balloons,Pheasants,,(Hot Air) balloons,1,669d63b71212137a95644a45
616,Rockets,Colanders,Flies,Rockets,,Flies,1,669d63b71212137a95644a45
617,Horseflies,Frogs,Helicopters,Horseflies,,Helicopters,1,669d63b71212137a95644a45
618,Storks,Jeans,Rockets,Storks,,Rockets,1,669d63b71212137a95644a45
619,Cuckoos,Go-carts,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,669d63b71212137a95644a45
620,Helicopters,Pots,Flies,Helicopters,,Flies,1,669d63b71212137a95644a45
621,Blackbirds,Organs,Airplanes,Blackbirds,,Airplanes,1,669d63b71212137a95644a45
622,Swallows,Piranhas,Rockets,Swallows,,Rockets,1,669d63b71212137a95644a45
623,Woodpeckers,Hedgehogs,Bumblebees,Woodpeckers,,Bumblebees,1,669d63b71212137a95644a45
624,Robins,Snakes,Helicopters,Robins,,Helicopters,1,669d63b71212137a95644a45
625,Owls,Monkeys,Mosquitoes,Owls,,Mosquitoes,1,669d63b71212137a95644a45
626,Pelicans,Ducks,Wasps,Pelicans,,Wasps,1,669d63b71212137a95644a45
628,Bees,Jeans,Zeppelins,Bees,,Zeppelins,1,669d63b71212137a95644a45
629,Bees,Llamas,Cuckoos,Bees,,Cuckoos,1,669d63b71212137a95644a45
735,Woodpeckers,Alligators,(Hot Air) balloons,Woodpeckers,,(Hot Air) balloons,1,66537b0010ca11939058e52b
736,Magpies,Carp,Zeppelins,Magpies,,Zeppelins,1,66537b0010ca11939058e52b
737,Sparrows,Saws,Rockets,Sparrows,,Rockets,1,66537b0010ca11939058e52b
738,Cuckoos,Go-carts,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,66537b0010ca11939058e52b
739,Zeppelins,Guitars,Bumblebees,Zeppelins,,Bumblebees,1,66537b0010ca11939058e52b
740,Woodpeckers,Hedgehogs,Bumblebees,Woodpeckers,,Bumblebees,0,66537b0010ca11939058e52b
741,Blackbirds,Bras,Airplanes,Blackbirds,,Airplanes,1,66537b0010ca11939058e52b
742,Rockets,Colanders,Flies,Rockets,,Flies,1,66537b0010ca11939058e52b
743,Doves,Foxes,Helicopters,Doves,,Helicopters,1,66537b0010ca11939058e52b
744,Cuckoos,Bass guitars,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,66537b0010ca11939058e52b
745,Eagles,Wolves,Flies,Eagles,,Flies,1,66537b0010ca11939058e52b
746,Pelicans,Ducks,Wasps,Pelicans,,Wasps,0,66537b0010ca11939058e52b
747,Blackbirds,Hats,Airplanes,Blackbirds,,Airplanes,1,66537b0010ca11939058e52b
748,Canaries,Cats,Rockets,Canaries,,Rockets,1,66537b0010ca11939058e52b
749,(Hot Air) balloons,Elephants,Bumblebees,(Hot Air) balloons,,Bumblebees,1,66537b0010ca11939058e52b
750,Cuckoos,Accordions,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,66537b0010ca11939058e52b
751,Fruit Flies,Dolphins,(Hot Air) balloons,Fruit Flies,,(Hot Air) balloons,1,66537b0010ca11939058e52b
752,Seagulls,Pistols,Zeppelins,Seagulls,,Zeppelins,1,66537b0010ca11939058e52b
753,Bees,Llamas,Cuckoos,Bees,,Cuckoos,1,66537b0010ca11939058e52b
754,Bumblebees,Toads,Pelicans,Bumblebees,,Pelicans,1,66537b0010ca11939058e52b
755,Flies,Pistols,Helicopters,Flies,,Helicopters,1,66537b0010ca11939058e52b
756,Moths,Rabbits,Helicopters,Moths,,Helicopters,1,66537b0010ca11939058e52b
757,Horseflies,Frogs,Helicopters,Horseflies,,Helicopters,1,66537b0010ca11939058e52b
758,Woodpeckers,Hedgehogs,Dragonflies,Woodpeckers,,Dragonflies,1,66537b0010ca11939058e52b
759,Wasps,Snakes,Airplanes,Wasps,,Airplanes,1,66537b0010ca11939058e52b
760,Herons,Pigs,Airplanes,Herons,,Airplanes,1,66537b0010ca11939058e52b
761,Moths,Sheep,Storks,Moths,,Storks,0,66537b0010ca11939058e52b
762,Parakeets,Alligators,Zeppelins,Parakeets,,Zeppelins,1,66537b0010ca11939058e52b
763,Bumblebees,Tortoises,Rockets,Bumblebees,,Rockets,1,66537b0010ca11939058e52b
764,Owls,Rhinos,Wasps,Owls,,Wasps,1,66537b0010ca11939058e52b
765,Sparrows,Snakes,Zeppelins,Sparrows,,Zeppelins,1,66537b0010ca11939058e52b
766,Cuckoos,Worms,Flies,Cuckoos,,Flies,1,66537b0010ca11939058e52b
767,Storks,Panties,Zeppelins,Storks,,Zeppelins,1,66537b0010ca11939058e52b
768,Blackbirds,Organs,Airplanes,Blackbirds,,Airplanes,1,66537b0010ca11939058e52b
769,Sparrows,Alligators,Rockets,Sparrows,,Rockets,1,66537b0010ca11939058e52b
770,Herons,Sheep,Airplanes,Herons,,Airplanes,1,66a428de01ccbc61556d585b
771,Bumblebees,Blouses,Airplanes,Bumblebees,,Airplanes,1,66a428de01ccbc61556d585b
772,Sparrows,Alligators,Rockets,Sparrows,,Rockets,1,66a428de01ccbc61556d585b
773,Bumblebees,Toads,Pelicans,Bumblebees,,Pelicans,1,66a428de01ccbc61556d585b
774,Owls,Rhinos,Wasps,Owls,,Wasps,1,66a428de01ccbc61556d585b
776,Fruit Flies,Dolphins,(Hot Air) balloons,Fruit Flies,,(Hot Air) balloons,1,66a428de01ccbc61556d585b
777,Doves,Dolphins,Helicopters,Doves,,Helicopters,1,66a428de01ccbc61556d585b
778,Moths,Camels,Canaries,Moths,,Canaries,1,66a428de01ccbc61556d585b
779,Pelicans,Elephants,Rockets,Pelicans,,Rockets,1,66a428de01ccbc61556d585b
780,Cuckoos,Bass guitars,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,66a428de01ccbc61556d585b
781,Falcons,Ducks,(Hot Air) balloons,Falcons,,(Hot Air) balloons,0,66a428de01ccbc61556d585b
782,Cuckoos,Woks,Zeppelins,Cuckoos,,Zeppelins,1,66a428de01ccbc61556d585b
783,Bees,Llamas,Cuckoos,Bees,,Cuckoos,1,66a428de01ccbc61556d585b
784,Canaries,Giraffes,(Hot Air) balloons,Canaries,,(Hot Air) balloons,1,66a428de01ccbc61556d585b
785,Doves,Foxes,Helicopters,Doves,,Helicopters,1,66a428de01ccbc61556d585b
786,(Hot Air) balloons,Elephants,Bumblebees,(Hot Air) balloons,,Bumblebees,1,66a428de01ccbc61556d585b
787,Canaries,Cats,Rockets,Canaries,,Rockets,1,66a428de01ccbc61556d585b
788,Mosquitoes,Toads,Pheasants,Mosquitoes,,Pheasants,1,66a428de01ccbc61556d585b
789,Cuckoos,Turkeys,Helicopters,Cuckoos,,Helicopters,0,66a428de01ccbc61556d585b
790,Bees,Squid,Chickadees,Bees,,Chickadees,1,66a428de01ccbc61556d585b
791,Pelicans,Ducks,Wasps,Pelicans,,Wasps,0,66a428de01ccbc61556d585b
792,Eagles,Clarinets,Airplanes,Eagles,,Airplanes,1,66a428de01ccbc61556d585b
793,Dragonflies,Tracksuits,Airplanes,Dragonflies,,Airplanes,1,66a428de01ccbc61556d585b
794,Pelicans,Donkeys,Airplanes,Pelicans,,Airplanes,1,66a428de01ccbc61556d585b
795,Airplanes,Rhinos,Crows,Airplanes,,Crows,1,66a428de01ccbc61556d585b
796,Cuckoos,Lizards,Horseflies,Cuckoos,,Horseflies,1,66a428de01ccbc61556d585b
797,Woodpeckers,Ducks,Bats,Woodpeckers,,Bats,0,66a428de01ccbc61556d585b
798,Cuckoos,Worms,Flies,Cuckoos,,Flies,1,66a428de01ccbc61556d585b
799,Butterflies,Hippos,Blackbirds,Butterflies,,Blackbirds,1,66a428de01ccbc61556d585b
800,Cuckoos,Go-carts,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,66a428de01ccbc61556d585b
801,Woodpeckers,Alligators,(Hot Air) balloons,Woodpeckers,,(Hot Air) balloons,1,66a428de01ccbc61556d585b
802,Woodpeckers,Hedgehogs,Bumblebees,Woodpeckers,,Bumblebees,1,66a428de01ccbc61556d585b
