,Argument 1-Premise 1,Argument 1-Premise 2,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Premise 2,Argument 2-Conclusion,Argument 1-Premise 3,Argument 2-Premise 3,GPT-4,GPT-3.5
331,Mosquitoes,Toads,Pheasants,Mosquitoes,,Pheasants,,,1.0,1.0
332,Cuckoos,Worms,Flies,Cuckoos,,Flies,,,1.0,1.0
335,Cuckoos,Lizards,Horseflies,Cuckoos,,Horseflies,,,1.0,1.0
341,Canaries,Cats,Rockets,Canaries,,Rockets,,,1.0,1.0
346,Woodpeckers,Hedgehogs,Bumblebees,Woodpeckers,,Bumblebees,,,1.0,1.0
459,Sparrows,Alligators,Rockets,Sparrows,,Rockets,,,1.0,1.0
470,Zeppelins,Guitars,Bumblebees,Zeppelins,,Bumblebees,,,1.0,1.0
473,Robins,Penguins,Helicopters,Robins,,Helicopters,,,1.0,1.0
475,Woodpeckers,Alligators,(Hot Air) balloons,Woodpeckers,,(Hot Air) balloons,,,1.0,1.0
489,Pelicans,Donkeys,Airplanes,Pelicans,,Airplanes,,,1.0,1.0
563,Woodpeckers,Ducks,Bats,Woodpeckers,,Bats,,,1.0,1.0
566,Canaries,Giraffes,(Hot Air) balloons,Canaries,,(Hot Air) balloons,,,1.0,1.0
584,Moths,Rabbits,Helicopters,Moths,,Helicopters,,,1.0,1.0
589,Moths,Sheep,Storks,Moths,,Storks,,,1.0,1.0
590,Owls,Monkeys,Mosquitoes,Owls,,Mosquitoes,,,1.0,1.0
593,Seagulls,Pistols,Zeppelins,Seagulls,,Zeppelins,,,1.0,1.0
613,Wasps,Snakes,Airplanes,Wasps,,Airplanes,,,1.0,1.0
626,Pelicans,Ducks,Wasps,Pelicans,,Wasps,,,1.0,1.0
755,Flies,Pistols,Helicopters,Flies,,Helicopters,,,1.0,1.0
779,Pelicans,Elephants,Rockets,Pelicans,,Rockets,,,1.0,1.0
790,Bees,Squid,Chickadees,Bees,,Chickadees,,,1.0,1.0
840,Swallows,Llamas,Helicopters,Swallows,,Helicopters,,,1.0,1.0
