,Premise 1,Premise 2,Premise 3,Conclusion,Dataset,Human,Overlap (Bhatia),GPT-3.5,GPT-4,SCM (Han)
41,mouse,,,dog,Rips,36.0,0.581187521,0.999990015,60.0,
42,cow,mouse,,horse,Osherson - Exp 4,0.74,0.543347541,0.938771278,80.0,
43,cow,squirrel,,horse,Osherson - Exp 4,0.72,0.547720177,0.921408935,60.0,
44,cow,dolphin,,horse,Osherson - Exp 4,0.73,0.537993705,0.940761158,80.0,
45,cow,elephant,,horse,Osherson - Exp 4,0.75,0.631924712,0.968225452,80.0,
46,mouse,squirrel,,horse,Osherson - Exp 4,0.17,0.450279656,0.906561474,40.0,
47,mouse,dolphin,,horse,Osherson - Exp 4,0.28,0.45749669,0.87481405,60.0,
48,mouse,elephant,,horse,Osherson - Exp 4,0.58,0.593546149,0.953374596,80.0,
49,squirrel,dolphin,,horse,Osherson - Exp 4,0.32,0.449544463,0.927293044,55.0,
50,squirrel,elephant,,horse,Osherson - Exp 4,0.54,0.586437237,0.941624864,80.0,
51,dolphin,elephant,,horse,Osherson - Exp 4,0.54,0.537050359,0.956507694,60.0,
52,penguin,,,dove,Bhatia - Exp 1,53.81818182,0.506119998,0.999985308,65.0,
53,ostrich,,,canary,Bhatia - Exp 1,40.11111111,0.400362496,0.999995214,65.0,
54,peacock,,,parakeet,Bhatia - Exp 1,55.125,0.541367917,0.605833398,65.0,
55,falcon,,,pelican,Bhatia - Exp 1,60.08333333,0.438639909,0.570730117,85.0,
56,pelican,,,seagull,Bhatia - Exp 1,71.125,0.513736339,0.594410101,70.0,
57,canary,,,sparrow,Bhatia - Exp 1,66.54545455,0.651617057,0.625556437,85.0,
58,seagull,,,duck,Bhatia - Exp 1,76.41666667,0.445476829,0.999989915,70.0,
59,canary,,,woodpecker,Bhatia - Exp 1,45.44444444,0.51869397,0.640261728,70.0,
60,swan,,,duck,Bhatia - Exp 1,75.16666667,0.546886717,0.99998645,85.0,
61,pelican,,,peacock,Bhatia - Exp 1,57.07142857,0.396656923,0.6147304,65.0,
62,robin,,,seagull,Bhatia - Exp 1,45.0,0.513994882,0.999994038,85.0,
63,seagull,,,sparrow,Bhatia - Exp 1,52.58333333,0.547749712,0.999991981,85.0,
64,chicken,,,falcon,Bhatia - Exp 1,47.1,0.441510944,0.576140739,70.0,
65,parakeet,,,seagull,Bhatia - Exp 1,51.18181818,0.511043831,0.99999391,70.0,
66,duck,,,dove,Bhatia - Exp 1,78.0,0.340071872,0.793048498,70.0,
67,parakeet,,,ostrich,Bhatia - Exp 1,33.41666667,0.484096899,0.99999373,65.0,
68,turkey,,,woodpecker,Bhatia - Exp 1,48.09090909,0.344821181,0.591782682,65.0,
69,chicken,,,parakeet,Bhatia - Exp 1,45.1,0.406972674,0.68485906,70.0,
70,turkey,,,robin,Bhatia - Exp 1,43.875,0.392049677,0.561178923,70.0,
71,penguin,,,parakeet,Bhatia - Exp 1,45.88235294,0.482403786,0.567760401,65.0,
72,parakeet,,,woodpecker,Bhatia - Exp 1,48.9,0.516068182,0.607347608,70.0,
73,ostrich,,,turkey,Bhatia - Exp 1,47.77777778,0.486896143,0.99999644,65.0,
74,dove,,,sparrow,Bhatia - Exp 1,63.41666667,0.664231577,0.999991788,85.0,
75,falcon,,,dove,Bhatia - Exp 1,61.66666667,0.509678997,0.598021805,85.0,
76,dove,,,swan,Bhatia - Exp 1,58.2,0.554459188,0.702876307,85.0,
77,owl,,,eagle,Bhatia - Exp 1,65.72727273,0.546467731,0.999994906,85.0,
78,swan,,,turkey,Bhatia - Exp 1,61.0,0.415180443,0.99997892,65.0,
79,falcon,,,eagle,Bhatia - Exp 1,85.66666667,0.724674029,0.671987312,90.0,
80,chicken,,,eagle,Bhatia - Exp 1,64.23076923,0.369050258,0.669663497,70.0,
81,robin,,,falcon,Bhatia - Exp 1,66.85714286,0.501937046,0.567327734,85.0,
82,eagle,,,canary,Bhatia - Exp 1,55.07692308,0.381075313,0.99999477,70.0,
83,owl,,,penguin,Bhatia - Exp 1,42.07692308,0.51576328,0.535053426,70.0,
84,swan,,,robin,Bhatia - Exp 1,66.41666667,0.503375462,0.999995882,70.0,
85,penguin,,,turkey,Bhatia - Exp 1,42.5,0.42079677,0.999987569,60.0,
86,swan,,,owl,Bhatia - Exp 1,46.375,0.549027428,0.999972542,70.0,
87,falcon,,,penguin,Bhatia - Exp 1,46.0,0.511978254,0.999994237,60.0,
88,ostrich,,,dove,Bhatia - Exp 1,49.22222222,0.402202386,0.655450067,70.0,
89,duck,,,parakeet,Bhatia - Exp 1,50.0,0.326669121,0.99999684,65.0,
90,pelican,,,ostrich,Bhatia - Exp 1,67.8,0.474441491,0.999987379,60.0,
91,eagle,,,seagull,Bhatia - Exp 1,71.6,0.421842245,0.999995218,70.0,
92,chicken,,,canary,Bhatia - Exp 1,49.57142857,0.471515669,0.71306431,70.0,
93,robin,,,sparrow,Bhatia - Exp 1,57.25,0.670746647,0.999996219,85.0,
94,chicken,,,dove,Bhatia - Exp 1,56.55555556,0.443761335,0.710516445,85.0,
95,peacock,,,swan,Bhatia - Exp 1,51.42857143,0.54251581,0.695940794,65.0,
96,swan,,,seagull,Bhatia - Exp 1,63.88888889,0.587371161,0.999980935,70.0,
97,chicken,,,duck,Bhatia - Exp 1,74.27272727,0.528340331,0.999995994,85.0,
98,seagull,,,chicken,Bhatia - Exp 1,58.75,0.476520776,0.99999398,70.0,
99,bra,,,scarf,Bhatia - Exp 1,37.54545455,0.540868907,0.674094907,30.0,
100,bra,,,suit,Bhatia - Exp 1,25.83333333,0.486876,0.99997994,40.0,
101,coat,,,belt,Bhatia - Exp 1,36.33333333,0.436884445,0.999995103,45.0,
102,scarf,,,coat,Bhatia - Exp 1,52.66666667,0.547662482,9.3e-05,70.0,
103,scarf,,,suit,Bhatia - Exp 1,36.09090909,0.502337606,0.631094616,40.0,
104,sweater,,,scarf,Bhatia - Exp 1,56.75,0.659212175,5.51e-05,85.0,
105,skirt,,,suit,Bhatia - Exp 1,43.6,0.529732444,0.999998472,50.0,
106,scarf,,,skirt,Bhatia - Exp 1,53.875,0.579654032,0.999993677,45.0,
107,bra,,,belt,Bhatia - Exp 1,33.75,0.60944213,0.999970511,45.0,
108,dress,,,skirt,Bhatia - Exp 1,78.25,0.700367866,0.796682948,85.0,
109,boots,,,belt,Bhatia - Exp 1,45.7,0.445054471,0.999994616,40.0,
110,coat,,,dress,Bhatia - Exp 1,30.66666667,0.573280923,0.999997452,70.0,
111,sweater,,,blouse,Bhatia - Exp 1,62.41666667,0.759203552,0.999996335,70.0,
112,skirt,,,blouse,Bhatia - Exp 1,44.6,0.730866895,0.99997609,65.0,
113,belt,,,sweater,Bhatia - Exp 1,34.75,0.478100871,0.616205829,30.0,
114,blouse,,,belt,Bhatia - Exp 1,43.5,0.509990874,0.701542479,40.0,
115,scarf,,,mittens,Bhatia - Exp 1,52.8,0.598352858,0.658781347,70.0,
116,dress,,,belt,Bhatia - Exp 1,23.85714286,0.442093042,0.999993384,45.0,
117,boots,,,skirt,Bhatia - Exp 1,45.58333333,0.574572462,0.603588588,25.0,
118,blouse,,,boots,Bhatia - Exp 1,32.125,0.493846857,0.612423296,40.0,
119,boots,,,scarf,Bhatia - Exp 1,38.0,0.471632838,0.99999273,40.0,
120,boots,,,suit,Bhatia - Exp 1,28.18181818,0.520495163,0.554164185,30.0,
121,dress,,,scarf,Bhatia - Exp 1,43.07142857,0.573397821,0.999993154,65.0,
122,dress,,,suit,Bhatia - Exp 1,67.36363636,0.624720357,0.999997885,70.0,
123,dress,,,bra,Bhatia - Exp 1,52.0,0.518129851,0.706698928,65.0,
124,bra,,,boots,Bhatia - Exp 1,20.1,0.500339147,0.999996278,30.0,
125,coat,,,mittens,Bhatia - Exp 1,53.66666667,0.48812037,0.709971411,85.0,
126,suit,,,coat,Bhatia - Exp 1,55.57142857,0.671495286,0.999993862,85.0,
127,skirt,,,coat,Bhatia - Exp 1,36.88888889,0.534900668,0.999987109,40.0,
128,belt,,,scarf,Bhatia - Exp 1,34.88888889,0.513981935,0.999988873,45.0,
129,sweater,,,coat,Bhatia - Exp 1,75.1,0.637609885,0.686428938,85.0,
130,boots,,,sweater,Bhatia - Exp 1,43.4,0.532335087,0.584430549,30.0,
131,mittens,,,sweater,Bhatia - Exp 1,51.09090909,0.536578983,0.625510441,70.0,
132,coat,,,boots,Bhatia - Exp 1,38.84615385,0.580532306,0.999996205,70.0,
133,stove,,,piano,Bhatia - Exp 1,24.85714286,0.144837738,0.999997523,30.0,
134,motorcycle,,,carriage,Bhatia - Exp 1,34.35714286,0.361278317,0.000112303,60.0,
135,rocket,,,van,Bhatia - Exp 1,24.0,0.275489915,0.593169935,30.0,
136,tractor,,,cart,Bhatia - Exp 1,48.0,0.613237365,0.999986002,60.0,
137,submarine,,,car,Bhatia - Exp 1,41.84615385,0.339851926,0.587936637,45.0,
138,jeep,,,bicycle,Bhatia - Exp 1,45.875,0.59168771,0.999993614,30.0,
139,submarine,,,rocket,Bhatia - Exp 1,48.38461538,0.488720583,0.664131822,60.0,
140,boat,,,jeep,Bhatia - Exp 1,36.0,0.314183583,0.543579928,60.0,
141,motorcycle,,,rocket,Bhatia - Exp 1,14.83333333,0.293821179,0.649427916,30.0,
142,bus,,,tractor,Bhatia - Exp 1,49.54545455,0.498583764,0.9999662,65.0,
143,jeep,,,carriage,Bhatia - Exp 1,42.18181818,0.476773052,0.999995313,45.0,
144,car,,,bicycle,Bhatia - Exp 1,53.3,0.601272619,0.000236759,65.0,
145,submarine,,,skateboard,Bhatia - Exp 1,4.2,0.170164134,0.577581407,10.0,
146,motorcycle,,,bus,Bhatia - Exp 1,49.0,0.513468003,7.97e-05,60.0,
147,skateboard,,,van,Bhatia - Exp 1,35.5,0.256177905,0.578549633,40.0,
148,train,,,submarine,Bhatia - Exp 1,52.09090909,0.330259172,0.645382312,30.0,
149,boat,,,bus,Bhatia - Exp 1,33.85714286,0.336171679,0.612681782,60.0,
150,boat,,,car,Bhatia - Exp 1,32.66666667,0.320877636,0.576238087,60.0,
151,boat,,,bicycle,Bhatia - Exp 1,41.75,0.268336473,0.548207841,25.0,
152,carriage,,,train,Bhatia - Exp 1,55.83333333,0.392930177,0.710540982,70.0,
153,bicycle,,,submarine,Bhatia - Exp 1,37.0,0.215792318,0.573591502,5.0,
154,carriage,,,van,Bhatia - Exp 1,46.0,0.496883062,0.999967367,65.0,
155,skateboard,,,rocket,Bhatia - Exp 1,16.625,0.260972707,0.637082171,20.0,
156,car,,,jeep,Bhatia - Exp 1,76.0,0.608621853,0.999987548,95.0,
157,car,,,rocket,Bhatia - Exp 1,34.5,0.309962103,2.83e-05,60.0,
158,van,,,train,Bhatia - Exp 1,61.4,0.550542785,0.000156038,60.0,
159,skateboard,,,jeep,Bhatia - Exp 1,50.90909091,0.386887472,0.586662217,30.0,
160,bus,,,van,Bhatia - Exp 1,74.07142857,0.635477452,0.000575179,85.0,
161,rocket,,,bus,Bhatia - Exp 1,27.07142857,0.27903629,0.622954356,30.0,
162,car,,,bus,Bhatia - Exp 1,78.375,0.595119271,0.000190473,85.0,
163,van,,,car,Bhatia - Exp 1,71.5,0.656784124,0.999976557,90.0,
164,submarine,,,boat,Bhatia - Exp 1,63.55555556,0.507131677,0.705797975,70.0,
165,skateboard,,,train,Bhatia - Exp 1,41.22222222,0.275933165,0.63734539,25.0,
166,rocket,,,truck,Bhatia - Exp 1,38.41666667,0.292002665,0.605610051,30.0,
167,jeep,,,truck,Bhatia - Exp 1,82.9,0.662294312,0.99997853,85.0,
168,skateboard,,,car,Bhatia - Exp 1,31.375,0.321226584,0.619791661,45.0,
169,boat,,,rocket,Bhatia - Exp 1,33.0,0.211757879,0.656739084,30.0,
170,truck,,,train,Bhatia - Exp 1,65.77777778,0.555978777,0.628681224,65.0,
171,train,,,cart,Bhatia - Exp 1,53.25,0.370186409,0.000409387,65.0,
172,rocket,,,carriage,Bhatia - Exp 1,20.0,0.210163556,0.999993153,20.0,
173,cart,,,motorcycle,Bhatia - Exp 1,45.41666667,0.362557762,0.000339174,45.0,
174,submarine,,,cart,Bhatia - Exp 1,8.0,0.207769094,0.569319482,25.0,
175,rocket,,,bicycle,Bhatia - Exp 1,29.5,0.256264677,0.570760404,25.0,
176,boat,,,cart,Bhatia - Exp 1,32.0,0.246585714,0.562846406,60.0,
177,jeep,,,tractor,Bhatia - Exp 1,66.375,0.615821127,0.99998585,65.0,
178,carriage,,,truck,Bhatia - Exp 1,41.0,0.413134006,0.999992012,65.0,
179,submarine,,,van,Bhatia - Exp 1,23.25,0.336896263,0.570662132,30.0,
180,boat,,,carriage,Bhatia - Exp 1,35.5,0.277714343,0.999988733,45.0,
181,bicycle,,,van,Bhatia - Exp 1,40.44444444,0.503926402,0.999985527,60.0,
182,tractor,,,boat,Bhatia - Exp 1,48.5,0.256744504,0.586364299,30.0,
183,motorcycle,,,bicycle,Bhatia - Exp 1,64.58823529,0.673440396,0.000553702,70.0,
184,penguin,parakeet,,dove,Bhatia - Exp 3,65.9,0.601163862,0.663521968,85.0,
185,ostrich,turkey,,canary,Bhatia - Exp 3,56.55555556,0.443298094,0.66583393,70.0,
186,peacock,swan,,parakeet,Bhatia - Exp 3,65.9,0.588577595,0.738209482,70.0,
187,falcon,dove,,pelican,Bhatia - Exp 3,65.38461538,0.460666456,0.655074464,85.0,
188,pelican,peacock,,seagull,Bhatia - Exp 3,79.23076923,0.559253767,0.65657674,85.0,
189,canary,woodpecker,,sparrow,Bhatia - Exp 3,74.88888889,0.705083325,0.655405327,85.0,
190,seagull,sparrow,,duck,Bhatia - Exp 3,77.66666667,0.462189229,0.999996671,85.0,
191,canary,sparrow,,woodpecker,Bhatia - Exp 3,61.36363636,0.601068846,0.750713303,85.0,
192,swan,turkey,,duck,Bhatia - Exp 3,84.71428571,0.655734546,0.999993979,85.0,
193,pelican,seagull,,peacock,Bhatia - Exp 3,58.875,0.476321608,0.6771857,70.0,
194,robin,falcon,,seagull,Bhatia - Exp 3,81.375,0.564080488,0.669946313,85.0,
195,seagull,duck,,sparrow,Bhatia - Exp 3,80.66666667,0.526234399,0.657441874,85.0,
196,chicken,parakeet,,falcon,Bhatia - Exp 3,53.42857143,0.5490878,0.75483159,85.0,
197,parakeet,ostrich,,seagull,Bhatia - Exp 3,55.36363636,0.542280454,0.715737038,85.0,
198,duck,parakeet,,dove,Bhatia - Exp 3,67.0,0.515001278,0.5,85.0,
199,parakeet,seagull,,ostrich,Bhatia - Exp 3,65.5,0.52220432,0.760418393,70.0,
200,turkey,robin,,woodpecker,Bhatia - Exp 3,69.3,0.485991005,0.711640902,85.0,
201,chicken,falcon,,parakeet,Bhatia - Exp 3,51.7,0.518581549,0.801112572,90.0,
202,turkey,woodpecker,,robin,Bhatia - Exp 3,71.0,0.533458246,0.765642101,85.0,
203,penguin,dove,,parakeet,Bhatia - Exp 3,79.66666667,0.58214316,0.65132231,90.0,
204,parakeet,seagull,,woodpecker,Bhatia - Exp 3,64.69230769,0.616514385,0.821226469,85.0,
205,ostrich,canary,,turkey,Bhatia - Exp 3,59.33333333,0.50730662,0.999996544,85.0,
206,falcon,pelican,,dove,Bhatia - Exp 3,74.8,0.514191509,0.697117288,85.0,
207,owl,penguin,,eagle,Bhatia - Exp 3,66.72727273,0.552881215,0.820849935,85.0,
208,swan,duck,,turkey,Bhatia - Exp 3,74.28571429,0.553916718,0.999991278,65.0,
209,falcon,pelican,,eagle,Bhatia - Exp 3,79.14285714,0.658519732,8.52e-05,90.0,
210,chicken,falcon,,eagle,Bhatia - Exp 3,73.22222222,0.620102413,0.750062828,90.0,
211,robin,seagull,,falcon,Bhatia - Exp 3,56.88888889,0.551635765,0.735768944,90.0,
212,eagle,seagull,,canary,Bhatia - Exp 3,79.55555556,0.549384766,0.716953685,90.0,
213,owl,eagle,,penguin,Bhatia - Exp 3,50.72727273,0.538459495,0.571405709,70.0,
214,swan,duck,,robin,Bhatia - Exp 3,52.88888889,0.485705848,0.752608226,70.0,
215,penguin,dove,,turkey,Bhatia - Exp 3,70.71428571,0.466271212,0.999994823,85.0,
216,swan,duck,,owl,Bhatia - Exp 3,66.92307692,0.515397165,0.999991229,70.0,
217,falcon,pelican,,penguin,Bhatia - Exp 3,67.61538462,0.637503949,0.546820247,70.0,
218,ostrich,canary,,dove,Bhatia - Exp 3,85.6,0.594699001,0.5,85.0,
219,duck,dove,,parakeet,Bhatia - Exp 3,62.125,0.506298202,0.759558733,90.0,
220,pelican,seagull,,ostrich,Bhatia - Exp 3,63.0,0.516260131,0.64876294,60.0,
221,eagle,canary,,seagull,Bhatia - Exp 3,73.0,0.579930159,0.740379126,85.0,
222,chicken,falcon,,canary,Bhatia - Exp 3,66.0,0.545686026,0.797573623,90.0,
223,robin,seagull,,sparrow,Bhatia - Exp 3,56.0,0.693222487,0.9999983,85.0,
224,chicken,falcon,,dove,Bhatia - Exp 3,70.7,0.556071579,0.725351626,85.0,
225,peacock,parakeet,,swan,Bhatia - Exp 3,71.83333333,0.593254233,0.717769882,85.0,
226,swan,duck,,seagull,Bhatia - Exp 3,69.23076923,0.586261612,0.999996866,85.0,
227,chicken,falcon,,duck,Bhatia - Exp 3,72.83333333,0.509610357,0.694793122,85.0,
228,seagull,duck,,chicken,Bhatia - Exp 3,71.33333333,0.592792209,0.999990615,70.0,
229,bra,suit,,scarf,Bhatia - Exp 3,61.5,0.60581155,0.999987172,60.0,
230,bra,scarf,,suit,Bhatia - Exp 3,67.85714286,0.563210712,0.999989793,60.0,
231,scarf,suit,,coat,Bhatia - Exp 3,66.0,0.701506501,0.99999242,85.0,
232,scarf,coat,,suit,Bhatia - Exp 3,64.16666667,0.664768975,0.999994549,65.0,
233,skirt,blouse,,suit,Bhatia - Exp 3,57.09090909,0.598156458,0.999988898,70.0,
234,scarf,coat,,skirt,Bhatia - Exp 3,71.44444444,0.634072616,0.99999642,60.0,
235,bra,scarf,,belt,Bhatia - Exp 3,50.25,0.641304204,0.99999137,65.0,
236,dress,belt,,skirt,Bhatia - Exp 3,57.54545455,0.719186572,0.999994994,85.0,
237,boots,skirt,,belt,Bhatia - Exp 3,53.44444444,0.545625012,0.999995733,65.0,
238,coat,belt,,dress,Bhatia - Exp 3,53.625,0.602026553,0.643867063,70.0,
239,skirt,suit,,blouse,Bhatia - Exp 3,60.4375,0.748448612,0.999989772,85.0,
240,belt,scarf,,sweater,Bhatia - Exp 3,59.9,0.660075223,0.999997708,65.0,
241,blouse,boots,,belt,Bhatia - Exp 3,53.45454545,0.545668857,0.99999542,70.0,
242,scarf,coat,,mittens,Bhatia - Exp 3,61.27272727,0.619029208,0.655215352,85.0,
243,dress,skirt,,belt,Bhatia - Exp 3,40.33333333,0.528515106,0.9999955,45.0,
244,boots,belt,,skirt,Bhatia - Exp 3,57.5,0.650697432,0.627841638,60.0,
245,blouse,belt,,boots,Bhatia - Exp 3,61.0,0.537334826,0.591961786,70.0,
246,boots,belt,,scarf,Bhatia - Exp 3,60.625,0.578092896,0.68459662,65.0,
247,boots,belt,,suit,Bhatia - Exp 3,54.66666667,0.55025344,0.99999749,65.0,
248,dress,skirt,,scarf,Bhatia - Exp 3,60.15384615,0.625314682,0.999995056,60.0,
249,dress,skirt,,suit,Bhatia - Exp 3,74.85714286,0.624324841,0.999995804,60.0,
250,dress,skirt,,bra,Bhatia - Exp 3,59.36363636,0.586444015,0.681666943,60.0,
251,bra,scarf,,boots,Bhatia - Exp 3,35.28571429,0.554046893,0.673614973,60.0,
252,coat,belt,,mittens,Bhatia - Exp 3,54.27272727,0.541744481,0.630852154,70.0,
253,suit,dress,,coat,Bhatia - Exp 3,73.09090909,0.694815894,0.999998072,85.0,
254,skirt,suit,,coat,Bhatia - Exp 3,64.0,0.693942391,0.999993359,85.0,
255,belt,sweater,,scarf,Bhatia - Exp 3,53.0,0.679228125,0.999995791,85.0,
256,boots,belt,,sweater,Bhatia - Exp 3,66.88888889,0.595752536,0.595154316,40.0,
257,coat,belt,,boots,Bhatia - Exp 3,69.77777778,0.608155963,0.685656126,70.0,
258,motorcycle,rocket,,carriage,Bhatia - Exp 3,39.66666667,0.348649632,0.659610599,45.0,
259,rocket,bus,,van,Bhatia - Exp 3,48.61538462,0.547207466,6.64e-05,85.0,
260,tractor,boat,,cart,Bhatia - Exp 3,51.5,0.554707066,0.999989263,65.0,
261,submarine,rocket,,car,Bhatia - Exp 3,41.42857143,0.37681684,0.667548826,65.0,
262,jeep,carriage,,bicycle,Bhatia - Exp 3,59.92857143,0.595976069,0.99998658,60.0,
263,submarine,car,,rocket,Bhatia - Exp 3,45.46153846,0.486064439,0.8349145,85.0,
264,boat,bus,,jeep,Bhatia - Exp 3,68.53846154,0.525277738,0.999994818,70.0,
265,motorcycle,carriage,,rocket,Bhatia - Exp 3,39.77777778,0.298746665,0.749053455,30.0,
266,bus,van,,tractor,Bhatia - Exp 3,75.5,0.618289524,0.999993333,65.0,
267,jeep,bicycle,,carriage,Bhatia - Exp 3,53.5,0.515046823,0.999997789,70.0,
268,car,jeep,,bicycle,Bhatia - Exp 3,69.14285714,0.665147918,0.999985133,60.0,
269,submarine,car,,skateboard,Bhatia - Exp 3,39.55555556,0.301684613,0.719267859,45.0,
270,motorcycle,carriage,,bus,Bhatia - Exp 3,69.27272727,0.582959774,0.817880951,85.0,
271,skateboard,rocket,,van,Bhatia - Exp 3,47.11111111,0.334355243,0.577082292,65.0,
272,train,cart,,submarine,Bhatia - Exp 3,54.84615385,0.329300897,0.652370751,30.0,
273,boat,jeep,,bus,Bhatia - Exp 3,69.0,0.55141262,0.999992241,85.0,
274,boat,jeep,,car,Bhatia - Exp 3,65.7,0.585236977,0.999990506,85.0,
275,boat,jeep,,bicycle,Bhatia - Exp 3,54.25,0.544007919,0.614312133,60.0,
276,carriage,van,,train,Bhatia - Exp 3,70.57142857,0.536793428,0.999989828,65.0,
277,bicycle,van,,submarine,Bhatia - Exp 3,47.72727273,0.313906413,0.581060372,30.0,
278,carriage,train,,van,Bhatia - Exp 3,61.85714286,0.623321087,0.999976761,60.0,
279,skateboard,van,,rocket,Bhatia - Exp 3,31.0,0.337408413,0.613272343,60.0,
280,car,bicycle,,jeep,Bhatia - Exp 3,74.5,0.670749624,0.999999107,95.0,
281,car,bicycle,,rocket,Bhatia - Exp 3,48.14285714,0.316478484,0.770542573,60.0,
282,van,car,,train,Bhatia - Exp 3,63.63636364,0.620918898,0.999990768,60.0,
283,skateboard,van,,jeep,Bhatia - Exp 3,66.07142857,0.650221477,0.999995542,85.0,
284,bus,tractor,,van,Bhatia - Exp 3,63.44444444,0.720442541,0.000107444,85.0,
285,rocket,van,,bus,Bhatia - Exp 3,71.44444444,0.564024642,0.67222231,85.0,
286,car,bicycle,,bus,Bhatia - Exp 3,76.0,0.616127488,1.19e-05,85.0,
287,van,train,,car,Bhatia - Exp 3,84.875,0.701762529,0.999993315,85.0,
288,submarine,car,,boat,Bhatia - Exp 3,76.0,0.503902719,0.999999214,85.0,
289,skateboard,van,,train,Bhatia - Exp 3,51.77777778,0.509282612,0.999987355,65.0,
290,rocket,van,,truck,Bhatia - Exp 3,52.0,0.661043814,0.578846601,85.0,
291,jeep,bicycle,,truck,Bhatia - Exp 3,67.23076923,0.64367188,0.597142409,85.0,
292,skateboard,van,,car,Bhatia - Exp 3,65.27272727,0.602217407,0.999980007,85.0,
293,boat,jeep,,rocket,Bhatia - Exp 3,49.16666667,0.318596161,0.637135046,60.0,
294,truck,rocket,,train,Bhatia - Exp 3,45.77777778,0.518323714,0.738814251,70.0,
295,train,submarine,,cart,Bhatia - Exp 3,38.6,0.348111923,0.614988835,60.0,
296,rocket,van,,carriage,Bhatia - Exp 3,56.0,0.435809337,0.688970609,60.0,
297,cart,train,,motorcycle,Bhatia - Exp 3,71.16666667,0.520578373,5.87e-05,45.0,
298,submarine,car,,cart,Bhatia - Exp 3,46.16666667,0.381617736,0.519989474,65.0,
299,rocket,van,,bicycle,Bhatia - Exp 3,51.45454545,0.469982853,0.551429387,60.0,
300,boat,jeep,,cart,Bhatia - Exp 3,46.625,0.463794603,0.605920609,70.0,
301,jeep,bicycle,,tractor,Bhatia - Exp 3,68.85714286,0.621820541,0.578314173,70.0,
302,carriage,train,,truck,Bhatia - Exp 3,60.81818182,0.571477517,0.999991366,65.0,
303,submarine,car,,van,Bhatia - Exp 3,76.42857143,0.610205888,0.692042476,95.0,
304,boat,jeep,,carriage,Bhatia - Exp 3,50.7,0.473525687,0.999992511,85.0,
305,bicycle,submarine,,van,Bhatia - Exp 3,41.66666667,0.540681781,0.552078512,60.0,
306,tractor,cart,,boat,Bhatia - Exp 3,55.14285714,0.280442357,0.64825288,40.0,
