,Premise 1,Premise 2,Premise 3,Conclusion,Argument Group,Phenomenon,Dataset,GPT-3.5,GPT-4
88,cod,dolphin,,eel,High,Monotonicity,Giallanza Phenomena,100.0,85.0
89,cod,,,eel,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
90,zebra,tiger,,llama,High,Monotonicity,Giallanza Phenomena,0.0,65.0
91,zebra,,,llama,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
92,caiman,salamander,,crocodile,High,Monotonicity,Giallanza Phenomena,90.0,85.0
93,caiman,,,crocodile,Low,Monotonicity,Giallanza Phenomena,90.0,90.0
94,drill,rope,,plane,High,Monotonicity,Giallanza Phenomena,10.0,30.0
95,drill,,,plane,Low,Monotonicity,Giallanza Phenomena,20.0,30.0
96,tank,bazooka,,canon,High,Monotonicity,Giallanza Phenomena,100.0,85.0
97,tank,,,canon,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
98,grinding disc,plough,,axe,High,Monotonicity,Giallanza Phenomena,90.0,70.0
99,grinding disc,,,axe,Low,Monotonicity,Giallanza Phenomena,20.0,65.0
100,suit,top,,pants,High,Monotonicity,Giallanza Phenomena,100.0,70.0
101,suit,,,pants,Low,Monotonicity,Giallanza Phenomena,90.0,90.0
102,organ,flute,,harp,High,Monotonicity,Giallanza Phenomena,50.0,85.0
103,organ,,,harp,Low,Monotonicity,Giallanza Phenomena,10.0,60.0
104,bicycle,skateboard,,taxi,High,Monotonicity,Giallanza Phenomena,90.0,30.0
105,bicycle,,,taxi,Low,Monotonicity,Giallanza Phenomena,10.0,40.0
106,lawn mower,crowbar,,vacuum cleaner,High,Monotonicity,Giallanza Phenomena,5.0,65.0
107,lawn mower,,,vacuum cleaner,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
108,monitor lizard,salamander,,crocodile,High,Monotonicity,Giallanza Phenomena,100.0,70.0
109,monitor lizard,,,crocodile,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
110,shovel,level,,axe,High,Monotonicity,Giallanza Phenomena,0.0,70.0
111,shovel,,,axe,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
112,sword,canon,,slingshot,High,Monotonicity,Giallanza Phenomena,100.0,60.0
113,sword,,,slingshot,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
114,skirt,suit,,shoes,High,Monotonicity,Giallanza Phenomena,0.0,60.0
115,skirt,,,shoes,Low,Monotonicity,Giallanza Phenomena,10.0,40.0
116,snake,crocodile,,python,High,Monotonicity,Giallanza Phenomena,100.0,95.0
117,snake,,,python,Low,Monotonicity,Giallanza Phenomena,100.0,95.0
118,pike,piranha,,stickleback,High,Monotonicity,Giallanza Phenomena,100.0,70.0
119,pike,,,stickleback,Low,Monotonicity,Giallanza Phenomena,90.0,60.0
120,parrot,dove,,owl,High,Monotonicity,Giallanza Phenomena,100.0,90.0
121,parrot,,,owl,Low,Monotonicity,Giallanza Phenomena,10.0,85.0
122,falcon,pelican,,vulture,High,Monotonicity,Giallanza Phenomena,100.0,85.0
123,falcon,,,vulture,Low,Monotonicity,Giallanza Phenomena,90.0,85.0
124,horse,hippopotamus,,hamster,High,Monotonicity,Giallanza Phenomena,100.0,60.0
125,horse,,,hamster,Low,Monotonicity,Giallanza Phenomena,10.0,50.0
126,tractor,subway train,,trailer,High,Monotonicity,Giallanza Phenomena,100.0,70.0
127,tractor,,,trailer,Low,Monotonicity,Giallanza Phenomena,90.0,65.0
128,axe,anvil,,saw,High,Monotonicity,Giallanza Phenomena,100.0,70.0
129,axe,,,saw,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
130,sweater,bathing suit,,panties,High,Monotonicity,Giallanza Phenomena,100.0,85.0
131,sweater,,,panties,Low,Monotonicity,Giallanza Phenomena,10.0,45.0
132,swan,pheasant,,woodpecker,High,Monotonicity,Giallanza Phenomena,100.0,70.0
133,swan,,,woodpecker,Low,Monotonicity,Giallanza Phenomena,10.0,60.0
134,cricket,beetle,,louse,High,Monotonicity,Giallanza Phenomena,100.0,85.0
135,cricket,,,louse,Low,Monotonicity,Giallanza Phenomena,90.0,60.0
136,can opener,mixer,,spoon,High,Monotonicity,Giallanza Phenomena,5.0,30.0
137,can opener,,,spoon,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
138,bus,scooter,,bicycle,High,Monotonicity,Giallanza Phenomena,100.0,85.0
139,bus,,,bicycle,Low,Monotonicity,Giallanza Phenomena,30.0,30.0
140,clamp,crowbar,,lawn mower,High,Monotonicity,Giallanza Phenomena,90.0,30.0
141,clamp,,,lawn mower,Low,Monotonicity,Giallanza Phenomena,10.0,25.0
142,panties,bra,,pullover,High,Monotonicity,Giallanza Phenomena,100.0,60.0
143,panties,,,pullover,Low,Monotonicity,Giallanza Phenomena,10.0,60.0
144,vulture,crow,,canary,High,Monotonicity,Giallanza Phenomena,5.0,70.0
145,vulture,,,canary,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
146,jeans,tracksuit,,pullover,High,Monotonicity,Giallanza Phenomena,100.0,65.0
147,jeans,,,pullover,Low,Monotonicity,Giallanza Phenomena,60.0,60.0
148,chisel,lawn mower,,file,High,Monotonicity,Giallanza Phenomena,100.0,70.0
149,chisel,,,file,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
150,hamster,hippopotamus,,rabbit,High,Monotonicity,Giallanza Phenomena,100.0,85.0
151,hamster,,,rabbit,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
152,squid,herring,,salmon,High,Monotonicity,Giallanza Phenomena,100.0,85.0
153,squid,,,salmon,Low,Monotonicity,Giallanza Phenomena,10.0,60.0
154,plough,adjustable spanner,,shovel,High,Monotonicity,Giallanza Phenomena,90.0,85.0
155,plough,,,shovel,Low,Monotonicity,Giallanza Phenomena,85.0,85.0
156,dagger,slingshot,,tank,High,Monotonicity,Giallanza Phenomena,5.0,30.0
157,dagger,,,tank,Low,Monotonicity,Giallanza Phenomena,10.0,20.0
158,lawn mower,vacuum cleaner,,clamp,High,Monotonicity,Giallanza Phenomena,0.0,30.0
159,lawn mower,,,clamp,Low,Monotonicity,Giallanza Phenomena,10.0,25.0
160,flute,piano,,clarinet,High,Monotonicity,Giallanza Phenomena,100.0,85.0
161,flute,,,clarinet,Low,Monotonicity,Giallanza Phenomena,90.0,85.0
162,alligator,crocodile,,iguana,High,Monotonicity,Giallanza Phenomena,90.0,60.0
163,alligator,,,iguana,Low,Monotonicity,Giallanza Phenomena,90.0,65.0
164,sardine,ray,,carp,High,Monotonicity,Giallanza Phenomena,50.0,85.0
165,sardine,,,carp,Low,Monotonicity,Giallanza Phenomena,20.0,70.0
166,hippopotamus,giraffe,,kangaroo,High,Monotonicity,Giallanza Phenomena,0.0,65.0
167,hippopotamus,,,kangaroo,Low,Monotonicity,Giallanza Phenomena,10.0,50.0
168,machine gun,club,,slingshot,High,Monotonicity,Giallanza Phenomena,100.0,70.0
169,machine gun,,,slingshot,Low,Monotonicity,Giallanza Phenomena,5.0,25.0
170,zeppelin,scooter,,tractor,High,Monotonicity,Giallanza Phenomena,50.0,60.0
171,zeppelin,,,tractor,Low,Monotonicity,Giallanza Phenomena,5.0,20.0
172,motorbike,go-cart,,rocket,High,Monotonicity,Giallanza Phenomena,100.0,60.0
173,motorbike,,,rocket,Low,Monotonicity,Giallanza Phenomena,90.0,30.0
174,cat,llama,,lion,High,Monotonicity,Giallanza Phenomena,100.0,85.0
175,cat,,,lion,Low,Monotonicity,Giallanza Phenomena,90.0,95.0
176,carp,goldfish,,shark,High,Monotonicity,Giallanza Phenomena,100.0,70.0
177,carp,,,shark,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
178,rooster,eagle,,woodpecker,High,Monotonicity,Giallanza Phenomena,100.0,85.0
179,rooster,,,woodpecker,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
180,rifle,bow,,canon,High,Monotonicity,Giallanza Phenomena,100.0,70.0
181,rifle,,,canon,Low,Monotonicity,Giallanza Phenomena,90.0,65.0
182,sled,bus,,motorbike,High,Monotonicity,Giallanza Phenomena,0.0,65.0
183,sled,,,motorbike,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
184,kick scooter,van,,bicycle,High,Monotonicity,Giallanza Phenomena,90.0,85.0
185,kick scooter,,,bicycle,Low,Monotonicity,Giallanza Phenomena,60.0,85.0
186,adjustable spanner,vacuum cleaner,,clamp,High,Monotonicity,Giallanza Phenomena,0.0,65.0
187,adjustable spanner,,,clamp,Low,Monotonicity,Giallanza Phenomena,90.0,65.0
188,skateboard,rocket,,zeppelin,High,Monotonicity,Giallanza Phenomena,100.0,60.0
189,skateboard,,,zeppelin,Low,Monotonicity,Giallanza Phenomena,10.0,10.0
190,wood louse,spider,,butterfly,High,Monotonicity,Giallanza Phenomena,50.0,65.0
191,wood louse,,,butterfly,Low,Monotonicity,Giallanza Phenomena,10.0,40.0
192,submarine,trailer,,zeppelin,High,Monotonicity,Giallanza Phenomena,50.0,40.0
193,submarine,,,zeppelin,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
194,fruit fly,horsefly,,cricket,High,Monotonicity,Giallanza Phenomena,100.0,65.0
195,fruit fly,,,cricket,Low,Monotonicity,Giallanza Phenomena,10.0,60.0
196,lion,dog,,llama,High,Monotonicity,Giallanza Phenomena,100.0,70.0
197,lion,,,llama,Low,Monotonicity,Giallanza Phenomena,10.0,50.0
198,herring,sole,,eel,High,Monotonicity,Giallanza Phenomena,100.0,70.0
199,herring,,,eel,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
200,tambourine,harpsichord,,guitar,High,Monotonicity,Giallanza Phenomena,50.0,85.0
201,tambourine,,,guitar,Low,Monotonicity,Giallanza Phenomena,20.0,65.0
202,stick,whip,,sword,High,Monotonicity,Giallanza Phenomena,100.0,65.0
203,stick,,,sword,Low,Monotonicity,Giallanza Phenomena,90.0,60.0
204,goldfish,carp,,dolphin,High,Monotonicity,Giallanza Phenomena,5.0,30.0
205,goldfish,,,dolphin,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
206,grenade,whip,,spear,High,Monotonicity,Giallanza Phenomena,50.0,70.0
207,grenade,,,spear,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
208,apron,knife,,spoon,High,Monotonicity,Giallanza Phenomena,100.0,70.0
209,apron,,,spoon,Low,Monotonicity,Giallanza Phenomena,10.0,25.0
210,crocodile,crocodile,,alligator,High,Monotonicity,Giallanza Phenomena,100.0,95.0
211,crocodile,,,alligator,Low,Monotonicity,Giallanza Phenomena,90.0,95.0
212,bow,club,,bazooka,High,Monotonicity,Giallanza Phenomena,100.0,30.0
213,bow,,,bazooka,Low,Monotonicity,Giallanza Phenomena,90.0,20.0
214,wrench,crowbar,,oilcan,High,Monotonicity,Giallanza Phenomena,100.0,60.0
215,wrench,,,oilcan,Low,Monotonicity,Giallanza Phenomena,90.0,60.0
216,canon,rifle,,stick,High,Monotonicity,Giallanza Phenomena,5.0,20.0
217,canon,,,stick,Low,Monotonicity,Giallanza Phenomena,10.0,20.0
218,salamander,cobra,,viper,High,Monotonicity,Giallanza Phenomena,100.0,85.0
219,salamander,,,viper,Low,Monotonicity,Giallanza Phenomena,20.0,65.0
220,plaice,swordfish,,goldfish,High,Monotonicity,Giallanza Phenomena,0.0,70.0
221,plaice,,,goldfish,Low,Monotonicity,Giallanza Phenomena,60.0,60.0
222,hammer,lawn mower,,pickaxe,High,Monotonicity,Giallanza Phenomena,90.0,70.0
223,hammer,,,pickaxe,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
224,clamp,saw,,grinding disc,High,Monotonicity,Giallanza Phenomena,100.0,70.0
225,clamp,,,grinding disc,Low,Monotonicity,Giallanza Phenomena,90.0,30.0
226,screwdriver,paint brush,,oilcan,High,Monotonicity,Giallanza Phenomena,100.0,65.0
227,screwdriver,,,oilcan,Low,Monotonicity,Giallanza Phenomena,90.0,45.0
228,bow,bazooka,,machine gun,High,Monotonicity,Giallanza Phenomena,100.0,70.0
229,bow,,,machine gun,Low,Monotonicity,Giallanza Phenomena,10.0,20.0
230,vacuum cleaner,screwdriver,,wire brush,High,Monotonicity,Giallanza Phenomena,100.0,65.0
231,vacuum cleaner,,,wire brush,Low,Monotonicity,Giallanza Phenomena,60.0,30.0
232,blindworm,toad,,alligator,High,Monotonicity,Giallanza Phenomena,100.0,60.0
233,blindworm,,,alligator,Low,Monotonicity,Giallanza Phenomena,5.0,30.0
234,sardine,whale,,cod,High,Monotonicity,Giallanza Phenomena,100.0,85.0
235,sardine,,,cod,Low,Monotonicity,Giallanza Phenomena,50.0,85.0
236,crowbar,vacuum cleaner,,grinding disc,High,Monotonicity,Giallanza Phenomena,0.0,60.0
237,crowbar,,,grinding disc,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
238,saxophone,banjo,,cymbals,High,Monotonicity,Giallanza Phenomena,100.0,60.0
239,saxophone,,,cymbals,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
240,owl,dove,,duck,High,Monotonicity,Giallanza Phenomena,100.0,85.0
241,owl,,,duck,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
242,woodpecker,crow,,blackbird,High,Monotonicity,Giallanza Phenomena,100.0,85.0
243,woodpecker,,,blackbird,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
244,shirt,pyjamas,,skirt,High,Monotonicity,Giallanza Phenomena,100.0,70.0
245,shirt,,,skirt,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
246,cat,beaver,,rabbit,High,Monotonicity,Giallanza Phenomena,100.0,85.0
247,cat,,,rabbit,Low,Monotonicity,Giallanza Phenomena,50.0,65.0
248,salamander,toad,,iguana,High,Monotonicity,Giallanza Phenomena,100.0,65.0
249,salamander,,,iguana,Low,Monotonicity,Giallanza Phenomena,90.0,65.0
250,flute,trumpet,,bagpipe,High,Monotonicity,Giallanza Phenomena,100.0,70.0
251,flute,,,bagpipe,Low,Monotonicity,Giallanza Phenomena,90.0,60.0
252,pot,towel,,glass,High,Monotonicity,Giallanza Phenomena,0.0,45.0
253,pot,,,glass,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
254,toad,salamander,,frog,High,Monotonicity,Giallanza Phenomena,100.0,85.0
255,toad,,,frog,Low,Monotonicity,Giallanza Phenomena,90.0,85.0
256,dolphin,piranha,,squid,High,Monotonicity,Giallanza Phenomena,100.0,60.0
257,dolphin,,,squid,Low,Monotonicity,Giallanza Phenomena,20.0,30.0
258,pistol,dagger,,bazooka,High,Monotonicity,Giallanza Phenomena,90.0,60.0
259,pistol,,,bazooka,Low,Monotonicity,Giallanza Phenomena,90.0,40.0
260,parrot,penguin,,robin,High,Monotonicity,Giallanza Phenomena,50.0,85.0
261,parrot,,,robin,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
262,spatula,electric kettle,,place mat,High,Monotonicity,Giallanza Phenomena,100.0,30.0
263,spatula,,,place mat,Low,Monotonicity,Giallanza Phenomena,90.0,25.0
264,taxi,jeep,,subway train,High,Monotonicity,Giallanza Phenomena,90.0,40.0
265,taxi,,,subway train,Low,Monotonicity,Giallanza Phenomena,90.0,30.0
266,bottle,oven,,fridge,High,Monotonicity,Giallanza Phenomena,50.0,65.0
267,bottle,,,fridge,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
268,pullover,coat,,belt,High,Monotonicity,Giallanza Phenomena,100.0,30.0
269,pullover,,,belt,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
270,jeans,dress,,coat,High,Monotonicity,Giallanza Phenomena,100.0,70.0
271,jeans,,,coat,Low,Monotonicity,Giallanza Phenomena,60.0,40.0
272,piranha,pike,,plaice,High,Monotonicity,Giallanza Phenomena,100.0,60.0
273,piranha,,,plaice,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
274,pistol,rifle,,slingshot,High,Monotonicity,Giallanza Phenomena,100.0,45.0
275,pistol,,,slingshot,Low,Monotonicity,Giallanza Phenomena,60.0,60.0
276,grasshopper,cricket,,ladybug,High,Monotonicity,Giallanza Phenomena,100.0,60.0
277,grasshopper,,,ladybug,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
278,club,canon,,bow,High,Monotonicity,Giallanza Phenomena,100.0,40.0
279,club,,,bow,Low,Monotonicity,Giallanza Phenomena,5.0,45.0
280,sparrow,turkey,,rooster,High,Monotonicity,Giallanza Phenomena,100.0,85.0
281,sparrow,,,rooster,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
282,scooter,boat,,skateboard,High,Monotonicity,Giallanza Phenomena,100.0,70.0
283,scooter,,,skateboard,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
284,adjustable spanner,chisel,,oilcan,High,Monotonicity,Giallanza Phenomena,0.0,65.0
285,adjustable spanner,,,oilcan,Low,Monotonicity,Giallanza Phenomena,90.0,45.0
286,fruit fly,ladybug,,beetle,High,Monotonicity,Giallanza Phenomena,100.0,85.0
287,fruit fly,,,beetle,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
288,salmon,plaice,,carp,High,Monotonicity,Giallanza Phenomena,100.0,85.0
289,salmon,,,carp,Low,Monotonicity,Giallanza Phenomena,60.0,85.0
290,sperm whale,eel,,herring,High,Monotonicity,Giallanza Phenomena,100.0,70.0
291,sperm whale,,,herring,Low,Monotonicity,Giallanza Phenomena,20.0,60.0
292,fork,bowl,,colander,High,Monotonicity,Giallanza Phenomena,100.0,70.0
293,fork,,,colander,Low,Monotonicity,Giallanza Phenomena,10.0,45.0
294,shoes,beanie,,socks,High,Monotonicity,Giallanza Phenomena,100.0,70.0
295,shoes,,,socks,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
296,trout,ray,,whale,High,Monotonicity,Giallanza Phenomena,50.0,70.0
297,trout,,,whale,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
298,snake,toad,,tortoise,High,Monotonicity,Giallanza Phenomena,100.0,70.0
299,snake,,,tortoise,Low,Monotonicity,Giallanza Phenomena,10.0,50.0
300,spider,centipede,,bumblebee,High,Monotonicity,Giallanza Phenomena,0.0,70.0
301,spider,,,bumblebee,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
302,go-cart,airplane,,sled,High,Monotonicity,Giallanza Phenomena,50.0,65.0
303,go-cart,,,sled,Low,Monotonicity,Giallanza Phenomena,20.0,60.0
304,top,mittens,,t-shirt,High,Monotonicity,Giallanza Phenomena,100.0,70.0
305,top,,,t-shirt,Low,Monotonicity,Giallanza Phenomena,90.0,90.0
306,boots,dungarees,,suit,High,Monotonicity,Giallanza Phenomena,100.0,40.0
307,boots,,,suit,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
308,shark,trout,,pike,High,Monotonicity,Giallanza Phenomena,100.0,85.0
309,shark,,,pike,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
310,tie,sweater,,mittens,High,Monotonicity,Giallanza Phenomena,100.0,70.0
311,tie,,,mittens,Low,Monotonicity,Giallanza Phenomena,90.0,30.0
312,stickleback,orca,,salmon,High,Monotonicity,Giallanza Phenomena,100.0,70.0
313,stickleback,,,salmon,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
314,python,boa,,chameleon,High,Monotonicity,Giallanza Phenomena,100.0,40.0
315,python,,,chameleon,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
316,double barrelled shotgun,rifle,,dagger,High,Monotonicity,Giallanza Phenomena,5.0,30.0
317,double barrelled shotgun,,,dagger,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
318,mittens,dungarees,,dress,High,Monotonicity,Giallanza Phenomena,100.0,70.0
319,mittens,,,dress,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
320,paint brush,oilcan,,tongs,High,Monotonicity,Giallanza Phenomena,0.0,45.0
321,paint brush,,,tongs,Low,Monotonicity,Giallanza Phenomena,20.0,25.0
322,rifle,stick,,machine gun,High,Monotonicity,Giallanza Phenomena,100.0,85.0
323,rifle,,,machine gun,Low,Monotonicity,Giallanza Phenomena,95.0,90.0
324,sheep,dromedary,,giraffe,High,Monotonicity,Giallanza Phenomena,100.0,70.0
325,sheep,,,giraffe,Low,Monotonicity,Giallanza Phenomena,10.0,45.0
326,plough,anvil,,wire brush,High,Monotonicity,Giallanza Phenomena,100.0,45.0
